,city,coli,state
0,New York,100.0,NY
1,Honolulu,82.98,HI
2,San Francisco,108.7,CA
3,Anchorage,71.28,AK
4,Washington,85.09,DC
5,New Haven,70.53,CT
6,Brooklyn,83.76,NY
7,Berkeley,82.91,CA
8,Arlington,79.32,VA
9,Seattle,76.77,WA
10,Santa Cruz,78.24,CA
11,Oakland,82.75,CA
12,Boston,81.72,MA
13,Miami,74.96,FL
14,Charleston,67.77,SC
15,Santa Rosa,70.25,CA
16,Allentown,59.89,PA
17,Philadelphia,68.76,PA
18,Chicago,70.73,IL
19,Melbourne,57.24,FL
20,Rockville,70.98,MD
21,Pittsburgh,60.45,PA
22,San Jose,82.53,CA
23,Burlington,62.09,VT
24,Everett,61.6,WA
25,Boulder,68.48,CO
26,Queens,69.85,NY
27,Fort Collins,61.08,CO
28,Minneapolis,61.07,MN
29,Portland,61.61,ME
30,Albany,56.96,NY
31,Asheville,59.04,NC
32,Saint Petersburg,59.62,FL
33,Denver,66.95,CO
34,Irvine,72.07,CA
35,Los Angeles,73.05,CA
36,Sacramento,60.8,CA
37,West Palm Beach,62.36,FL
38,Baltimore,63.84,MD
39,Greensboro,53.13,NC
40,Portland,66.04,OR
41,Santa Barbara,75.27,CA
42,New Orleans,59.8,LA
43,Hartford,60.45,CT
44,Des Moines,55.89,IA
45,Cleveland,55.14,OH
46,Orlando,59.07,FL
47,Tacoma,57.01,WA
48,Jersey City,72.15,NJ
49,Fort Lauderdale,66.21,FL
50,Grand Rapids,55.27,MI
51,San Diego,68.37,CA
52,Jacksonville,54.36,FL
53,Bellingham,55.31,WA
54,Milwaukee,55.5,WI
55,Fayetteville,49.73,AR
56,Saint Louis,53.1,MO
57,Charlotte,58.23,NC
58,Nashville,60.91,TN
59,Atlanta,59.9,GA
60,Harrisburg,51.12,PA
61,Saint Paul,56.17,MN
62,Plano,58.81,TX
63,Tampa,58.38,FL
64,Indianapolis,53.01,IN
65,Detroit,55.82,MI
66,Austin,62.9,TX
67,Manchester,54.52,NH
68,Syracuse,50.91,NY
69,Greenville,55.77,SC
70,Fresno,52.97,CA
71,Louisville,51.47,KY
72,Bakersfield,50.48,CA
73,Houston,58.66,TX
74,Savannah,51.26,GA
75,Birmingham,51.16,AL
76,Tallahassee,51.65,FL
77,Chattanooga,50.44,TN
78,Buffalo,50.34,NY
79,Wichita,49.36,KS
80,Raleigh,54.25,NC
81,Newark,53.84,NJ
82,Spokane,49.73,WA
83,Eugene,51.23,OR
84,Little Rock,49.16,AR
85,Las Vegas,51.1,NV
86,Fremont,69.86,CA
87,Fort Worth,53.23,TX
88,Vancouver,52.05,WA
89,Dayton,46.37,OH
90,Toledo,45.39,OH
91,Tulsa,50.12,OK
92,Columbus,52.51,OH
93,Ann Arbor,55.63,MI
94,Fort Wayne,46.42,IN
95,Salem,49.85,OR
96,Cincinnati,50.87,OH
97,Fort Myers,49.52,FL
98,Dallas,55.02,TX
99,Rochester,49.45,NY
100,Columbia,49.71,SC
101,Pensacola,48.59,FL
102,Madison,53.05,WI
103,Phoenix,50.14,AZ
104,Salt Lake City,51.9,UT
105,Kansas City,48.31,MO
106,Virginia Beach,52.18,VA
107,Albuquerque,46.36,NM
108,Shreveport,46.03,LA
109,Mobile,45.41,AL
110,Huntsville,46.79,AL
111,Oklahoma City,46.16,OK
112,Boise,47.14,ID
113,Knoxville,47.61,TN
114,Tucson,43.94,AZ
115,San Antonio,48.6,TX
116,Reno,46.46,NV
117,Athens,42.88,GA
118,Springfield,39.97,MO
