mileage,mpg_city,feature_list,make,mpg_highway,stock_number,location,year,model,type,price
17K,28,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Hyundai,38,14254379,Charlottesville,2016,Elantra SE,sedan,"$13,998"
37K,25,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Chevrolet,36,14422503,Charlottesville,2014,Malibu LS,sedan,"$13,998"
32K,0,"Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels, Overhead Airbags",Toyota,0,14178405,Charlottesville,2013,Corolla S,sedan,"$13,599"
37K,22,"Parking Sensors, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Ford,34,14389931,Charlottesville,2013,Fusion SE,sedan,"$13,499"
45K,27,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Nissan,38,14061248,Charlottesville,2014,Altima S,sedan,"$13,599"
53K,20,"Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Acura,29,14046658,Charlottesville,2012,TL,sedan,"$17,599"
32K,28,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Honda,39,14126893,Potomac Mills,2012,Civic LX,sedan,"$12,998"
34K,28,"Technology Package, Leather Seats, Sunroof(s), Rear View Camera, Navigation System",Hyundai,38,14254403,Newport News,2013,Elantra Limited,sedan,"$14,998"
53K,16,"Alpine Sound System, Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Dodge,25,14234449,Newport News,2013,Charger R/T,sedan,"$19,998"
21K,28,"Technology Package, Leather Seats, Sunroof(s), Rear View Camera, Navigation System",Hyundai,38,14482482,Fredericksburg,2013,Elantra Limited,sedan,"$15,998"
45K,25,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Toyota,35,14418188,Fredericksburg,2014,Camry LE,sedan,"$14,998"
42K,16,"4WD/AWD, Leather Seats, Parking Sensors, Rear View Camera, Navigation System",Jaguar,24,14288328,Fredericksburg,2013,XJ,sedan,"$33,998"
26K,19,"Premium Package, Technology Package, Cold Weather Package, Leather Seats, Panoramic Sunroof",Nissan,26,14418216,Fredericksburg,2014,Maxima SV,sedan,"$20,998"
5K,22,"Turbo Charged Engine, Leather Seats, Parking Sensors, Rear View Camera, Navigation System",Cadillac,31,14053863,Fredericksburg,2016,CT6 Luxury,sedan,"$46,998"
1K,22,"Auto Cruise Control, Leather Seats, Panoramic Sunroof, Parking Sensors, Rear View Camera",Nissan,30,14422773,Fredericksburg,2016,Maxima SL,sedan,"$31,998"
44K,17,"4WD/AWD, Leather Seats, Parking Sensors, Rear View Camera, Navigation System",Infiniti,24,14423894,Fredericksburg,2014,Q70,sedan,"$28,998"
