mileage,mpg_city,feature_list,make,mpg_highway,stock_number,location,year,model,type,price
14K,21,"Leather Seats, Rear View Camera, Sunroof(s), Satellite Radio Ready, Auxiliary Audio Input",Lexus,30,12432805,Fredericksburg,2015,IS 250,sedan,"$27,998"
10K,26,"Auto Cruise Control, 4WD/AWD, Leather Seats, Sunroof(s), Harman Kardon Sound",Subaru,36,14407686,Fredericksburg,2016,Legacy 2.5i Limited,sedan,"$26,998"
34K,0,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Dodge,0,14253512,Virginia Beach,2013,Avenger SE,sedan,"$11,998"
42K,24,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Kia,35,14387113,Virginia Beach,2013,Optima LX,sedan,"$12,998"
65K,23,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Honda,34,14342417,Virginia Beach,2012,Accord LX,sedan,"$13,998"
50K,24,"Leather Seats, Sunroof(s), Rear View Camera, Navigation System, Front Seat Heaters",Dodge,34,14049069,Virginia Beach,2013,Dart Limited,sedan,"$13,998"
63K,24,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Nissan,31,13655071,Lynchburg,2012,Sentra,sedan,"$9,599"
36K,28,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Kia,36,14388067,West Broad,2013,Rio LX,sedan,"$11,599"
39K,27,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Nissan,38,14288193,Harrisonburg,2014,Altima S,sedan,"$13,998"
55K,19,"4WD/AWD, Turbo Charged Engine, Leather Seats, Sunroof(s), Parking Sensors",Buick,27,14044869,Lynchburg,2014,Regal Premium,sedan,"$16,998"
18K,24,"Leather Seats, Panoramic Sunroof, Infinity Sound System, Rear View Camera, Navigation System",Hyundai,35,14321852,Harrisonburg,2014,Sonata Limited,sedan,"$18,599"
39K,18,"4WD/AWD, Leather & Suede Seats, Parking Sensors, Rear View Camera, Navigation System",Audi,28,14045354,Harrisonburg,2013,S4 Premium Plus,sedan,"$32,998"
38K,28,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Hyundai,38,14471985,Dulles,2013,Elantra GLS,sedan,"$11,998"
24K,28,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Hyundai,38,14387448,Dulles,2014,Elantra SE,sedan,"$12,998"
8K,26,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Kia,39,14315267,Dulles,2015,Forte LX,sedan,"$13,599"
78K,17,"Premium Package, Technology Package, Auto Cruise Control, 4WD/AWD, Leather Seats",Infiniti,23,14415819,Dulles,2008,G35 X,sedan,"$13,998"
37K,25,"Premium Package, Leather Seats, Sunroof(s), Rear View Camera, Front Seat Heaters",Kia,36,14471967,Dulles,2015,Forte EX,sedan,"$14,998"
38K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Honda,36,14322257,Dulles,2014,Accord LX,sedan,"$15,998"
34K,27,"Sunroof(s), Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Honda,36,14289590,Dulles,2014,Accord EX,sedan,"$17,599"
30K,18,"4WD/AWD, Leatherette Seats, Front Seat Heaters, Sunroof(s), Auxiliary Audio Input",Mercedes-Benz,25,14023927,Dulles,2011,C300 Sport,sedan,"$18,599"
40K,22,"Premium Package, Turbo Charged Engine, Leatherette Seats, Harman Kardon Sound, Rear View Camera",Mercedes-Benz,31,14315593,Dulles,2013,C250 Luxury,sedan,"$19,998"
9K,31,"Turbo Charged Engine, Sunroof(s), Rear View Camera, Front Seat Heaters, Cruise Control",Honda,42,14472251,Dulles,2016,Civic EX-T,sedan,"$23,599"
28K,0,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Nissan,0,14247612,Gaithersburg,2016,Versa S,sedan,"$9,899"
16K,22,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Chevrolet,35,14319390,Gaithersburg,2015,Cruze LS,sedan,"$13,899"
29K,28,"Sunroof(s), Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Honda,39,14046761,Gaithersburg,2013,Civic EX,sedan,"$15,499"
27K,19,"Leather Seats, Parking Sensors, Rear View Camera, Navigation System, Front Seat Heaters",Ford,29,13922240,Gaithersburg,2013,Taurus Limited,sedan,"$18,499"
32K,38,"Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera, Navigation System",Lincoln,37,14219213,Gaithersburg,2014,MKZ Hybrid,sedan,"$20,899"
27K,15,"Technology Package, Auto Cruise Control, Leather & Suede Seats, Sunroof(s), Alpine Sound System",Dodge,25,14314205,Gaithersburg,2015,Charger SRT 392,sedan,"$40,097"
15K,0,"Premium Package, 4WD/AWD, Power Liftgate/DeckLid, Leather Seats, Harman Kardon Sound",Mercedes-Benz,0,14288207,Gaithersburg,2014,CLS550,sedan,"$45,899"
30K,18,"Premium Package, Cold Weather Package, 4WD/AWD, Power Liftgate/DeckLid, Leather Seats",Audi,28,14219480,Gaithersburg,2014,A8 L,sedan,"$43,899"
21K,19,"Premium Package, 4WD/AWD, Leather Seats, Mark Levinson Sound, Rear View Camera",Lexus,26,14423092,Gaithersburg,2015,IS 350,sedan,"$34,998"
14K,22,"4WD/AWD, Turbo Charged Engine, Leather Seats, Front Seat Heaters, Cruise Control",Volkswagen,31,14289569,Gaithersburg,2016,Golf R,sedan,"$33,899"
35K,19,"Technology Package, Run Flat Tires, Auto Cruise Control, 4WD/AWD, Leather Seats",Infiniti,27,14421770,Gaithersburg,2014,Q50 Sport,sedan,"$29,899"
19K,21,"Luxury Package, Premium Package, Leather Seats, Parking Sensors, Rear View Camera",Lexus,31,14181122,Gaithersburg,2014,ES 350,sedan,"$28,998"
7K,18,"Power Liftgate/DeckLid, 4WD/AWD, Leather Seats, Panoramic Sunroof, Parking Sensors",Lincoln,26,14195718,Gaithersburg,2015,MKZ,sedan,"$26,899"
5K,0,"Turbo Charged Engine, Leather Seats, Panoramic Sunroof, Parking Sensors, Rear View Camera",Chevrolet,0,14422766,Gaithersburg,2016,Malibu Premier,sedan,"$26,998"
19K,22,"Turbo Charged Engine, Leather Seats, Panoramic Sunroof, Rear View Camera, Navigation System",Volkswagen,31,14234254,Gaithersburg,2015,CC Executive,sedan,"$25,899"
60K,22,"Premium Package, Cold Weather Package, Run Flat Tires, Head Up Display, 4WD/AWD",BMW,33,14023657,Gaithersburg,2014,528 XI,sedan,"$25,899"
27K,22,"Premium Package, Cold Weather Package, 4WD/AWD, Turbo Charged Engine, Leatherette Seats",BMW,33,14421347,Gaithersburg,2014,328 XI,sedan,"$24,899"
3K,24,"Turbo Charged Engine, Rear View Camera, Front Seat Heaters, Alloy Wheels, Satellite Radio Ready",Volkswagen,32,14175313,Gaithersburg,2017,GTI S,sedan,"$23,998"
7K,25,"Auto Cruise Control, Leatherette Seats, Rear View Camera, Front Seat Heaters, Sunroof(s)",Acura,36,14389928,Gaithersburg,2016,ILX,sedan,"$23,499"
34K,19,"Leather Seats, Sunroof(s), Rear View Camera, Navigation System, Front Seat Heaters",Dodge,31,14054207,Gaithersburg,2014,Charger Anniversary Edition,sedan,"$22,899"
27K,0,"Premium Package, Cold Weather Package, Run Flat Tires, 4WD/AWD, Turbo Charged Engine",BMW,0,14052947,Gaithersburg,2013,328 XI,sedan,"$22,998"
38K,38,"Power Liftgate/DeckLid, Auto Cruise Control, Leather Seats, Sunroof(s), Parking Sensors",Lincoln,37,14318866,Gaithersburg,2014,MKZ Hybrid,sedan,"$21,899"
23K,19,"Luxury Package, Leather Seats, Rear View Camera, Navigation System, Front Seat Heaters",Chrysler,31,14234942,Gaithersburg,2014,300 S,sedan,"$21,899"
25K,19,"Leather Seats, Alpine Sound System, Rear View Camera, Navigation System, Front Seat Heaters",Chrysler,31,14194143,Gaithersburg,2015,300 C,sedan,"$21,899"
50K,18,"Technology Package, 4WD/AWD, Leather Seats, Sunroof(s), Rear View Camera",Acura,26,14342271,Gaithersburg,2013,TL SH-AWD,sedan,"$21,899"
20K,24,"Turbo Charged Engine, Leatherette Seats, Sunroof(s), Rear View Camera, Navigation System",Volkswagen,32,13568989,Gaithersburg,2015,Jetta GLI SEL,sedan,"$20,899"
21K,25,"Convenience Package, Leather & Suede Seats, Sunroof(s), Rear View Camera, Navigation System",Toyota,35,13963196,Gaithersburg,2015,Camry XSE,sedan,"$20,899"
25K,19,"Premium Package, Leather Seats, Panoramic Sunroof, Infinity Sound System, Parking Sensors",Kia,28,14386716,Gaithersburg,2014,Cadenza Premium,sedan,"$20,899"
23K,19,"Luxury Package, Premium Package, Leather Seats, Panoramic Sunroof, Infinity Sound System",Kia,28,14255077,Gaithersburg,2014,Cadenza Premium,sedan,"$20,899"
37K,19,"Luxury Package, Auto Cruise Control, Leather Seats, Parking Sensors, Rear View Camera",Chrysler,31,14288780,Gaithersburg,2014,300 S,sedan,"$20,899"
25K,20,"Technology Package, Leather Seats, Sunroof(s), Rear View Camera, Navigation System",Acura,29,14234133,Gaithersburg,2013,TL,sedan,"$20,899"
19K,40,"Auto Cruise Control, Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera",Ford,36,14421516,Gaithersburg,2014,Fusion Energi Titanium,sedan,"$20,698"
16K,24,"Leather Seats, Panoramic Sunroof, Infinity Sound System, Rear View Camera, Navigation System",Hyundai,35,14421636,Gaithersburg,2014,Sonata Limited,sedan,"$19,899"
4K,24,"Leather Seats, Sunroof(s), Rear View Camera, Front Seat Heaters, Cruise Control",Hyundai,35,14421615,Gaithersburg,2014,Sonata Limited,sedan,"$19,899"
9K,30,"Turbo Charged Engine, Leather Seats, Rear View Camera, Front Seat Heaters, Cruise Control",Chevrolet,42,14434624,Gaithersburg,2016,Cruze Premier,sedan,"$19,899"
47K,23,"Premium Package, Run Flat Tires, 4WD/AWD, Turbo Charged Engine, Leatherette Seats",BMW,35,14390014,Gaithersburg,2013,320 XI,sedan,"$19,899"
39K,22,"Limited Edition, Turbo Charged Engine, Leather Seats, Panoramic Sunroof, Infinity Sound System",Kia,34,13667884,Gaithersburg,2013,Optima SXL,sedan,"$19,499"
16K,30,"Leather Seats, Sunroof(s), Rear View Camera, Front Seat Heaters, Cruise Control",Honda,39,14288755,Gaithersburg,2015,Civic EX-L,sedan,"$19,499"
30K,40,"Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera, Navigation System",Ford,36,14421511,Gaithersburg,2014,Fusion Energi Titanium,sedan,"$19,499"
37K,18,"Premium Package, 4WD/AWD, Leatherette Seats, Front Seat Heaters, Sunroof(s)",Mercedes-Benz,25,13922303,Gaithersburg,2011,C300 Sport,sedan,"$18,899"
42K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Honda,36,13922386,Gaithersburg,2015,Accord Sport,sedan,"$18,899"
37K,22,"Sunroof(s), Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler",Honda,31,14209644,Gaithersburg,2013,Civic Si,sedan,"$18,899"
44K,18,"Turbo Charged Engine, Leather Seats, Sunroof(s), Harman Kardon Sound, Parking Sensors",Buick,29,14164417,Gaithersburg,2013,Regal GS,sedan,"$18,899"
26K,24,"Leather Seats, Rear View Camera, Front Seat Heaters, Sunroof(s), Satellite Radio Ready",Acura,35,14387518,Gaithersburg,2014,ILX,sedan,"$18,899"
38K,22,"Leather & Suede Seats, Front Seat Heaters, Sunroof(s), Satellite Radio Ready, Auxiliary Audio Input",Acura,31,14386892,Gaithersburg,2014,TSX Special Edition,sedan,"$18,899"
27K,30,"Leather Seats, Sunroof(s), Rear View Camera, Navigation System, Front Seat Heaters",Honda,39,14053053,Gaithersburg,2014,Civic EX-L,sedan,"$17,899"
20K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Honda,36,13616890,Gaithersburg,2013,Accord Sport,sedan,"$17,899"
13K,22,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Chevrolet,31,14319099,Gaithersburg,2016,Impala LS,sedan,"$17,899"
38K,0,"Luxury Package, Cold Weather Package, Run Flat Tires, Leather Seats, Parking Sensors",Cadillac,0,13781005,Gaithersburg,2013,ATS Luxury,sedan,"$17,998"
32K,18,"Premium Package, Cold Weather Package, Run Flat Tires, Leatherette Seats, Navigation System",BMW,28,14390218,Gaithersburg,2010,328 I,sedan,"$17,899"
42K,44,"Luxury Package, Technology Package, Leather Seats, Sunroof(s), Parking Sensors",Ford,41,14389860,Gaithersburg,2013,Fusion Hybrid SE,sedan,"$17,499"
23K,23,"Luxury Package, Technology Package, Turbo Charged Engine, Leather Seats, Sunroof(s)",Ford,36,14054652,Gaithersburg,2014,Fusion SE,sedan,"$17,499"
68K,21,"Turbo Charged Engine, Leather Seats, Front Seat Heaters, Sunroof(s), Satellite Radio Ready",Volvo,30,13891149,Gaithersburg,2013,S60 T5 Premier,sedan,"$16,899"
23K,25,"Leatherette Seats, Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags",Toyota,35,14199913,Gaithersburg,2015,Camry LE,sedan,"$16,899"
8K,30,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Honda,39,14289344,Gaithersburg,2015,Civic SE,sedan,"$16,899"
41K,25,"Leather Seats, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Chevrolet,36,14421851,Gaithersburg,2015,Malibu LTZ,sedan,"$16,899"
28K,20,"Turbo Charged Engine, Parking Sensors, Front Seat Heaters, Satellite Radio Ready, Auxiliary Audio Input",Volvo,30,14205338,Gaithersburg,2012,S60 T5,sedan,"$16,499"
37K,0,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Honda,0,14423505,Gaithersburg,2014,Accord LX,sedan,"$16,097"
35K,22,"Turbo Charged Engine, Leather Seats, Cruise Control, Auxiliary Audio Input, Rear Spoiler",Kia,34,14421853,Gaithersburg,2013,Optima SX,sedan,"$15,899"
7K,24,"Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Hyundai,35,14421617,Gaithersburg,2014,Sonata GLS,sedan,"$15,899"
20K,25,"Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels, Overhead Airbags",Hyundai,37,14421754,Gaithersburg,2015,Sonata SE,sedan,"$15,899"
55K,0,"Premium Package, Leather Seats, Panoramic Sunroof, Infinity Sound System, Rear View Camera",Hyundai,0,14169345,Gaithersburg,2013,Sonata Limited,sedan,"$15,998"
38K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Honda,36,14386713,Gaithersburg,2014,Accord LX,sedan,"$15,899"
20K,30,"Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels, Overhead Airbags",Mazda,41,14386824,Gaithersburg,2014,Mazda3 I Touring,sedan,"$15,499"
17K,30,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Honda,39,13921849,Gaithersburg,2014,Civic LX,sedan,"$15,499"
28K,23,"Luxury Package, Turbo Charged Engine, Leather Seats, Front Seat Heaters, Cruise Control",Ford,36,14093811,Gaithersburg,2014,Fusion SE,sedan,"$15,499"
52K,22,"Leatherette Seats, Sunroof(s), Navigation System, Front Seat Heaters, Cruise Control",Volkswagen,31,13539029,Gaithersburg,2013,Passat SE,sedan,"$14,899"
48K,0,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Toyota,0,13787669,Gaithersburg,2015,Camry LE,sedan,"$14,899"
32K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Nissan,38,14421377,Gaithersburg,2014,Altima SV,sedan,"$14,899"
38K,24,"Leather Seats, Sunroof(s), Rear View Camera, Front Seat Heaters, Cruise Control",Hyundai,34,14220896,Gaithersburg,2015,Elantra Sport,sedan,"$14,998"
14K,30,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Honda,39,14018786,Gaithersburg,2015,Civic LX,sedan,"$14,899"
21K,27,"Luxury Package, Sport Package, Leather Seats, Parking Sensors, Rear View Camera",Ford,40,14346758,Gaithersburg,2016,Focus SE,sedan,"$14,899"
7K,27,"Rear View Camera, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Ford,40,14422349,Gaithersburg,2016,Focus S,sedan,"$14,899"
19K,26,"Convenience Package, Technology Package, Turbo Charged Engine, Rear View Camera, Cruise Control",Chevrolet,38,14319089,Gaithersburg,2015,Cruze LT,sedan,"$14,899"
67K,23,"4WD/AWD, Sunroof(s), Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Subaru,31,14389827,Gaithersburg,2011,Legacy 2.5i Premium,sedan,"$14,499"
35K,23,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Kia,34,14204805,Gaithersburg,2015,Optima LX,sedan,"$14,499"
40K,19,"Leather Seats, Sunroof(s), Boston Sound System, Navigation System, Front Seat Heaters",Chrysler,29,14319088,Gaithersburg,2014,200 Limited,sedan,"$14,499"
45K,25,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Chevrolet,36,14387807,Gaithersburg,2014,Malibu LS,sedan,"$14,097"
79K,25,"Navigation System, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Toyota,35,13921201,Gaithersburg,2013,Camry SE,sedan,"$13,899"
52K,28,"Leather Seats, Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Hyundai,38,14422356,Gaithersburg,2015,Elantra Limited,sedan,"$13,899"
26K,27,"Parking Sensors, Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler",Ford,40,14305094,Gaithersburg,2016,Focus SE,sedan,"$13,899"
23K,28,"Turbo Charged Engine, Rear View Camera, Navigation System, Cruise Control, Auxiliary Audio Input",Dodge,40,14314532,Gaithersburg,2015,Dart Aero,sedan,"$13,899"
32K,19,"Leather Seats, Sunroof(s), Boston Sound System, Navigation System, Front Seat Heaters",Chrysler,29,13258096,Gaithersburg,2013,200 Limited,sedan,"$13,899"
37K,26,"Convenience Package, Turbo Charged Engine, Leather Seats, Front Seat Heaters, Cruise Control",Chevrolet,38,14421457,Gaithersburg,2015,Cruze LT,sedan,"$13,899"
27K,25,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Chevrolet,36,14318860,Gaithersburg,2014,Malibu LS,sedan,"$13,899"
4K,22,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Chevrolet,35,14253035,Gaithersburg,2014,Cruze LS,sedan,"$13,899"
44K,28,"Sunroof(s), Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Mazda,40,14319156,Gaithersburg,2013,Mazda3 I Touring,sedan,"$13,499"
36K,19,"Leather Seats, Sunroof(s), Boston Sound System, Navigation System, Front Seat Heaters",Chrysler,29,14055054,Gaithersburg,2014,200 Limited,sedan,"$13,499"
17K,26,"Convenience Package, Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Chevrolet,38,14295447,Gaithersburg,2014,Cruze LT,sedan,"$13,499"
67K,0,"Leather Seats, Sunroof(s), Rear View Camera, Navigation System, Front Seat Heaters",Nissan,0,14204988,Gaithersburg,2009,Altima SL,sedan,"$12,899"
23K,28,"Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Hyundai,38,14319420,Gaithersburg,2013,Elantra GLS,sedan,"$12,899"
53K,28,"Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Hyundai,38,14422331,Gaithersburg,2014,Elantra SE,sedan,"$12,899"
47K,34,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Hyundai,39,14055354,Gaithersburg,2011,Sonata Hybrid,sedan,"$12,899"
25K,22,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Chevrolet,35,14386736,Gaithersburg,2014,Cruze LS,sedan,"$12,899"
47K,22,"Sunroof(s), Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Mazda,31,13810849,Gaithersburg,2011,Mazda6 I,sedan,"$12,499"
15K,25,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Chevrolet,36,14209617,Gaithersburg,2014,Cruze LS,sedan,"$12,499"
23K,0,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Kia,0,14421510,Gaithersburg,2015,Forte LX,sedan,"$11,899"
34K,28,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Hyundai,38,14322726,Gaithersburg,2013,Elantra GLS,sedan,"$11,899"
72K,26,"Convenience Package, Turbo Charged Engine, Leather Seats, Sunroof(s), Front Seat Heaters",Chevrolet,38,13921942,Gaithersburg,2012,Cruze LT,sedan,"$11,899"
117K,21,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Honda,31,13922100,Gaithersburg,2010,Accord LX,sedan,"$10,899"
82K,27,"Sunroof(s), Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Ford,38,14204410,Gaithersburg,2013,Focus SE,sedan,"$10,899"
52K,26,"Cruise Control, Air Conditioning, Power Locks, Power Mirrors, AM/FM Stereo",Toyota,35,14390227,Gaithersburg,2008,Corolla LE,sedan,"$9,899"
78K,25,"Auxiliary Audio Input, Overhead Airbags, Side Airbags, Air Conditioning, Power Locks",Nissan,33,14048407,Gaithersburg,2008,Sentra,sedan,"$9,899"
66K,27,"Auxiliary Audio Input, Side Airbags, AM/FM Stereo, Rear Defroster, Cloth Seats",Chevrolet,34,13647636,Gaithersburg,2009,Aveo LS,sedan,"$8,499"
27K,17,"4WD/AWD, Leather Seats, Parking Sensors, Rear View Camera, Navigation System",Jaguar,27,14233754,Dulles,2015,XF Sport,sedan,"$36,998"
11K,24,"Auto Cruise Control, Turbo Charged Engine, Leather Seats, Rear View Camera, Front Seat Heaters",Volkswagen,32,14472221,Dulles,2017,GTI Autobahn,sedan,"$28,998"
24K,22,"Premium Package, Cold Weather Package, Run Flat Tires, 4WD/AWD, Power Liftgate/DeckLid",BMW,33,14314889,Dulles,2014,528 XI,sedan,"$28,998"
40K,0,"Premium Package, Technology Package, Auto Cruise Control, 4WD/AWD, Leather Seats",Infiniti,0,14047268,Dulles,2011,M56 X,sedan,"$27,998"
20K,21,"Luxury Package, Premium Package, Leatherette Seats, Parking Sensors, Rear View Camera",Lexus,31,14288213,Dulles,2014,ES 350,sedan,"$26,998"
27K,19,"4WD/AWD, Leatherette Seats, Rear View Camera, Navigation System, Front Seat Heaters",Infiniti,27,14472511,Dulles,2014,Q50 Premium,sedan,"$26,998"
29K,32,"Premium Package, Run Flat Tires, Diesel Engine, Leatherette Seats, Parking Sensors",BMW,45,14472011,Dulles,2014,328 d,sedan,"$26,998"
11K,22,"Run Flat Tires, 4WD/AWD, Turbo Charged Engine, Leatherette Seats, Parking Sensors",BMW,33,14314882,Dulles,2014,328 XI,sedan,"$26,998"
36K,20,"Cold Weather Package, 4WD/AWD, Turbo Charged Engine, Leather Seats, Parking Sensors",Audi,30,14276468,Dulles,2013,A6 Premium Plus,sedan,"$26,998"
14K,26,"Auto Cruise Control, 4WD/AWD, Leather Seats, Sunroof(s), Harman Kardon Sound",Subaru,36,14472521,Dulles,2016,Legacy 2.5i Limited,sedan,"$25,998"
11K,23,"Turbo Charged Engine, Leatherette Seats, Front Seat Heaters, Sunroof(s), Auxiliary Audio Input",BMW,35,14488348,Dulles,2014,328 I,sedan,"$24,998"
23K,17,"4WD/AWD, Leather Seats, Panoramic Sunroof, Parking Sensors, Rear View Camera",Volkswagen,25,14472173,Dulles,2013,CC VR6-4Motion Executive,sedan,"$24,599"
17K,18,"4WD/AWD, Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control",Acura,26,13925059,Dulles,2013,TL SH-AWD,sedan,"$24,998"
9K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Honda,37,14315568,Dulles,2016,Accord Sport,sedan,"$23,998"
5K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Honda,37,14315662,Dulles,2016,Accord Sport,sedan,"$23,998"
15K,19,"Leather Seats, Panoramic Sunroof, Parking Sensors, Rear View Camera, Navigation System",Chevrolet,29,14180920,Dulles,2014,Impala LTZ,sedan,"$23,998"
