Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Atlanta Hawks,41.75,10.71,13.84,33.45,0.25,12.76,12.58,10.47,10.41,14.69,14.22,2015-2016,REG,82
Brooklyn Nets,43.68,16.32,18.1,21.68,0.23,11.66,12.34,9.79,10.03,13.21,14.47,2015-2016,REG,82
Boston Celtics,42.73,12.51,15.55,29,0.21,12.43,12.38,10.01,10.1,14.33,14.17,2015-2016,REG,82
Charlotte Hornets,36.4,13.29,15.52,34.64,0.14,13.73,13.05,11.68,10.97,15.33,14.71,2015-2016,REG,82
Chicago Bulls,41.5,15.43,18.51,24.11,0.45,12.32,12.23,10.71,10.18,13.58,13.85,2015-2016,REG,82
Cleveland Cavaliers,39.39,12.83,12.52,35.09,0.17,13.33,12.46,11.03,10.22,15.3,14.28,2015-2016,REG,82
Dallas Mavericks,35.79,14.47,15.87,33.6,0.28,13.71,13.07,11.4,10.77,15.55,14.96,2015-2016,REG,82
Denver Nuggets,47.41,10.53,14.18,27.6,0.29,11.81,12.62,9.65,10.53,13.53,14.41,2015-2016,REG,82
Detroit Pistons,44.16,13.92,11.66,29.76,0.51,12.33,11.95,10.09,9.85,14.09,13.74,2015-2016,REG,82
Golden State Warriors,39.59,12.24,11.94,35.9,0.34,13.48,12.42,11.63,10.16,15.24,14.15,2015-2016,REG,82
Houston Rockets,45.78,9.03,8.17,36.6,0.41,12.55,12.66,9.9,10.32,14.74,14.63,2015-2016,REG,82
Indiana Pacers,37.32,13.85,21.88,26.66,0.3,13.15,12.76,10.75,10.45,15.11,14.58,2015-2016,REG,82
Los Angeles Clippers,34.76,11.58,21.62,31.75,0.29,14.15,12.58,11.82,10.34,16.17,14.3,2015-2016,REG,82
Los Angeles Lakers,37.85,16.41,16.9,28.49,0.35,13.06,12.19,10.71,9.62,14.71,14.51,2015-2016,REG,82
Memphis Grizzlies,46.54,14.03,17.28,21.81,0.34,11.35,13.34,9.45,11.16,12.84,15.17,2015-2016,REG,82
Miami Heat,43.43,16.23,18.36,21.69,0.28,11.58,12.22,9.23,10.26,13.66,13.77,2015-2016,REG,82
Milwaukee Bucks,52.29,13.75,15.17,18.57,0.22,10.1,12.37,7.96,9.97,11.97,14.38,2015-2016,REG,82
Minnesota Timberwolves,42.66,13.23,23.9,20.06,0.15,11.88,12.42,9.55,9.94,13.91,14.61,2015-2016,REG,82
New Orleans Pelicans,41.01,13.76,17.54,27.48,0.21,12.52,12.92,10.67,10.65,14.03,14.92,2015-2016,REG,82
New York Knicks,36.61,17.61,20.26,25.32,0.2,12.99,12,11.21,9.95,14.38,13.63,2015-2016,REG,82
Oklahoma City Thunder,42.72,15.02,14.72,27.41,0.14,11.95,11.79,9.7,9.64,13.99,13.47,2015-2016,REG,82
Orlando Magic,40.92,13.01,20.6,25.14,0.34,12.52,12.51,10.38,10.31,14.3,14.39,2015-2016,REG,82
Philadelphia 76ers,44.42,12.85,9.98,32.52,0.23,12.42,11.96,9.9,9.92,14.33,13.73,2015-2016,REG,82
Phoenix Suns,41.74,12.58,15.53,29.94,0.21,12.61,12.58,10.37,10.47,14.33,14.43,2015-2016,REG,82
Portland Trailblazers,39.08,12.02,15.66,33.04,0.2,13.33,12.63,11.5,10.97,14.83,14.01,2015-2016,REG,82
Sacramento Kings,48.15,10.36,15.52,25.71,0.25,11.68,13.27,9.49,11.09,13.58,15.15,2015-2016,REG,82
San Antonio Spurs,38.78,18.74,20.19,22.06,0.22,12.19,12.17,10.25,10.13,14.02,13.75,2015-2016,REG,82
Toronto Raptors,42.74,14.72,13.9,28.37,0.27,12.38,12.58,10.4,10.88,14,13.94,2015-2016,REG,82
Utah Jazz,41.32,16.34,12.73,29.27,0.35,12.32,12.33,10.18,10.39,14.06,13.89,2015-2016,REG,82
Washington Wizards,38.48,14.4,18.96,27.91,0.26,12.97,13.03,10.64,10.93,14.96,14.83,2015-2016,REG,82
Atlanta Hawks,41.85,10.93,15.09,32.08,0.04,12.75,13.04,10.85,10.75,14.41,14.84,2014-2015,REG,82
Brooklyn Nets,42.64,17.05,16.31,23.63,0.37,11.92,12.43,9.76,10.13,13.69,14.36,2014-2015,REG,82
Boston Celtics,39.64,13.03,19.33,27.79,0.22,12.84,12.19,10.56,9.82,14.66,14.14,2014-2015,REG,82
Charlotte Hornets,37.61,16.42,23.38,22.33,0.26,12.75,12.8,10.8,11.05,14.16,14.18,2014-2015,REG,82
Chicago Bulls,43.71,13.09,16.33,26.51,0.35,12.18,12.3,10.23,10.51,13.72,13.68,2014-2015,REG,82
Cleveland Cavaliers,41.88,12.35,12.33,33.3,0.15,12.77,12.28,10.55,10,14.66,14.18,2014-2015,REG,82
Dallas Mavericks,40.05,12.17,18.18,29.46,0.14,12.81,12.7,10.47,10.56,14.81,14.46,2014-2015,REG,82
