,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Season
1,Golden State Warriors,82,73,9,0.89,48.5,114.9,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,10.8,2015-2016
2,San Antonio Spurs,82,67,15,0.817,48.1,103.5,40.1,82.9,48.4,7,18.5,37.5,16.4,20.4,80.3,9.4,34.5,43.9,24.5,13.1,8.3,5.9,3.9,17.5,19.5,10.6,2015-2016
3,Cleveland Cavaliers,82,57,25,0.695,48.4,104.3,38.7,84,46,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,6,2015-2016
4,Toronto Raptors,82,56,26,0.683,48.2,102.7,36.7,81.3,45.1,8.6,23.3,37,20.8,26.7,77.7,10.2,33.2,43.4,18.7,13.1,7.8,5.5,5.4,19.6,22,4.5,2015-2016
5,Oklahoma City Thunder,82,55,27,0.671,48.4,110.2,41.1,86.4,47.6,8.3,23.7,34.9,19.7,25.2,78.2,13.1,35.6,48.6,23,15.9,7.4,5.9,4.5,20.6,20.2,7.3,2015-2016
6,Los Angeles Clippers,82,53,29,0.646,48.4,104.5,38.3,82.4,46.5,9.7,26.7,36.4,18.2,26.2,69.2,8.8,33.3,42,22.8,13,8.6,5.6,3.2,21.3,22.5,4.3,2015-2016
7,Miami Heat,82,48,34,0.585,48.4,100,38.4,81.7,47,6.1,18,33.6,17.1,23,74.5,9.8,34.3,44.1,20.8,14.1,6.7,6.5,4.1,18.3,19.6,1.6,2015-2016
7,Boston Celtics,82,48,34,0.585,48.2,105.7,39.2,89.2,43.9,8.7,26.1,33.5,18.5,23.5,78.8,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21,3.2,2015-2016
7,Charlotte Hornets,82,48,34,0.585,48.4,103.4,37,84.4,43.9,10.6,29.4,36.2,18.7,23.7,79,9,35,43.9,21.7,12.5,7.3,5.3,5.5,18.1,20.4,2.7,2015-2016
7,Atlanta Hawks,82,48,34,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35,15.6,20,78.3,8.3,33.8,42.1,25.6,15,9.1,5.9,5,19.1,18.3,3.6,2015-2016
11,Indiana Pacers,82,45,37,0.549,48.5,102.2,38.3,85.2,45,8.1,23,35.1,17.4,22.8,76.4,10.3,33.9,44.2,21.2,14.9,9,4.8,4.5,20,20.4,1.7,2015-2016
12,Detroit Pistons,82,44,38,0.537,48.5,102,37.9,86.4,43.9,9,26.2,34.5,17.1,25.5,66.8,12.5,33.9,46.3,19.4,13.5,7,3.7,4.5,19,21.6,0.6,2015-2016
12,Portland Trail Blazers,82,44,38,0.537,48.3,105.1,38.6,85.9,45,10.5,28.5,37,17.4,23,75.4,11.6,33.9,45.5,21.3,14.6,6.9,4.6,5.2,21.7,19.5,0.8,2015-2016
14,Dallas Mavericks,82,42,40,0.512,48.8,102.3,37.4,84.1,44.4,9.8,28.6,34.4,17.7,22.3,79.4,9.2,33.9,43.1,22.1,12.8,6.8,3.7,4.4,19.5,21.4,-0.3,2015-2016
14,Chicago Bulls,82,42,40,0.512,48.5,101.6,38.6,87.4,44.1,7.9,21.4,37.1,16.5,21,78.7,11.1,35.2,46.3,22.8,13.9,6,5.7,5.7,18.8,18.7,-1.5,2015-2016
14,Memphis Grizzlies,82,42,40,0.512,48.4,99.1,36.8,83.6,44,6.1,18.5,33.1,19.3,24.7,78.3,11.2,30.5,41.6,20.7,13.3,8.8,4.3,5.7,21.7,21.1,-2.2,2015-2016
17,Houston Rockets,82,41,41,0.5,48.4,106.5,37.7,83.5,45.2,10.7,30.9,34.7,20.4,29.4,69.4,11.3,31.7,43.1,22.2,15.9,10,5.2,4.9,21.8,22.5,0.2,2015-2016
17,Washington Wizards,82,41,41,0.5,48.2,104.1,39.5,85.8,46,8.6,24.2,35.8,16.5,22.5,73,9.1,32.8,41.8,24.5,14.5,8.6,3.9,4.3,20.8,20.1,-0.5,2015-2016
19,Utah Jazz,82,40,42,0.488,48.7,97.7,36.1,80.4,44.9,8.5,23.9,35.5,17.1,23,74.4,10.7,32.5,43.2,19,14.9,7.7,5.2,4.7,20.2,19.9,1.8,2015-2016
20,Orlando Magic,82,35,47,0.427,48.5,102.1,39.5,86.8,45.5,7.8,22.2,35,15.2,20.1,75.7,10.3,33,43.3,23.6,14.1,8.2,5.1,5.5,20.7,18.3,-1.6,2015-2016
21,Milwaukee Bucks,82,33,49,0.402,48.4,99,38.4,82.2,46.7,5.4,15.6,34.5,17,22.7,74.8,10.5,31.2,41.7,23.1,15.2,8.2,5.8,5.6,20.7,19.5,-4.2,2015-2016
21,Denver Nuggets,82,33,49,0.402,48.4,101.9,37.7,85.4,44.2,8,23.7,33.8,18.5,24.1,76.6,11.5,33.1,44.6,22.7,14.7,7.4,4.8,6.3,21,20.9,-3.1,2015-2016
21,Sacramento Kings,82,33,49,0.402,48.3,106.6,40,86.4,46.4,8,22.4,35.9,18.5,25.5,72.5,10.6,33.7,44.2,24.5,16.2,8.9,4.5,5.3,20.4,22,-2.5,2015-2016
24,New York Knicks,82,32,50,0.39,48.3,98.4,36.9,84,43.9,7.4,21.5,34.6,17.2,21.4,80.5,10.4,34,44.4,20.5,13.4,5.7,5.7,4.2,19.7,18.5,-2.7,2015-2016
25,New Orleans Pelicans,82,30,52,0.366,48.2,102.7,38.5,85.9,44.8,8.6,23.8,36,17.3,22.2,77.6,9.5,33.1,42.6,22.2,13.4,7.7,4.2,5.2,20.9,19.9,-3.8,2015-2016
26,Minnesota Timberwolves,82,29,53,0.354,48.5,102.4,37.7,81.3,46.4,5.5,16.4,33.8,21.4,27,79.2,10,31.5,41.6,23.4,15,8,4.6,5.2,20.7,21.6,-3.5,2015-2016
27,Phoenix Suns,82,23,59,0.28,48.1,100.9,37.2,85.6,43.5,9,25.8,34.8,17.5,23.2,75.1,11.5,33.3,44.8,20.7,17.2,7.7,3.8,5.5,22.7,21.6,-6.7,2015-2016
28,Brooklyn Nets,82,21,61,0.256,48.2,98.6,38.2,84.4,45.3,6.5,18.4,35.2,15.7,20.7,75.7,10.5,31.9,42.4,22.3,14.8,7.6,4,5.2,18,18.4,-7.4,2015-2016
29,Los Angeles Lakers,82,17,65,0.207,48.1,97.3,35.1,84.8,41.4,7.8,24.6,31.7,19.3,24.7,78.1,10.7,32.3,43,18,13.7,7.2,4.1,5.6,20.3,19.2,-9.6,2015-2016
30,Philadelphia 76ers,82,10,72,0.122,48.3,97.4,36.2,84,43.1,9.3,27.5,33.9,15.7,22.6,69.4,9.5,31.8,41.2,21.5,16.4,8.3,6,5.7,21.7,19.2,-10.2,2015-2016
1,Golden State Warriors,82,67,15,0.817,48.1,110,41.6,87,47.8,10.8,27,39.8,16,20.8,76.8,10.4,34.3,44.7,27.4,14.5,9.3,6,3.6,19.9,18.8,10.1,2014-2015
2,Atlanta Hawks,82,60,22,0.732,48.1,102.5,38.1,81.7,46.6,10,26.2,38,16.5,21.2,77.8,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,5.4,2014-2015
3,Houston Rockets,82,56,26,0.683,48.3,103.9,37,83.3,44.4,11.4,32.7,34.8,18.6,26,71.5,11.7,32,43.7,22.2,16.7,9.5,5,5.3,22,21.1,3.4,2014-2015
3,Los Angeles Clippers,82,56,26,0.683,48.1,106.7,39.4,83.3,47.3,10.1,26.9,37.6,17.9,25.2,71,9.6,33.1,42.6,24.8,12.3,7.8,5,3,21.3,21.5,6.6,2014-2015
5,Memphis Grizzlies,82,55,27,0.671,48.5,98.3,37.8,82.5,45.8,5.2,15.2,33.9,17.6,22.8,77.3,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,3.2,2014-2015
5,San Antonio Spurs,82,55,27,0.671,48.7,103.2,39.1,83.6,46.8,8.3,22.5,36.7,16.7,21.4,78,9.8,33.8,43.6,24.4,14,8,5.4,4.4,19.1,19.7,6.2,2014-2015
7,Cleveland Cavaliers,82,53,29,0.646,48.2,103.1,37.7,82.2,45.8,10.1,27.5,36.7,17.7,23.6,75.1,11.1,31.9,43,22.1,14.3,7.4,4.1,4.5,18.4,20.5,4.5,2014-2015
8,Portland Trail Blazers,82,51,31,0.622,48.4,102.8,38.7,86,45,9.8,27.2,36.2,15.5,19.4,80.1,10.7,35.1,45.9,21.9,13.6,6.4,4.5,3.6,18.2,18.7,4.2,2014-2015
9,Chicago Bulls,82,50,32,0.61,48.5,100.8,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34,45.7,21.7,14,6.3,5.8,5.4,18.2,21.2,3,2014-2015
9,Dallas Mavericks,82,50,32,0.61,48.5,105.2,39.7,85.8,46.3,8.9,25.4,35.2,16.9,22.5,75.2,10.5,31.8,42.3,22.5,13,8.1,4.5,3.8,20,22.1,2.9,2014-2015
11,Toronto Raptors,82,49,33,0.598,48.4,104,37.9,83.3,45.5,8.9,25.1,35.2,19.3,24.6,78.7,10.7,30.8,41.5,20.7,12.9,7.5,4.4,5,20.9,20.3,3.1,2014-2015
12,Washington Wizards,82,46,36,0.561,48.7,98.5,38.3,82.8,46.2,6.1,16.8,36,15.9,21.4,74.2,10.5,34.2,44.7,24,15,7.3,4.6,4.3,20.8,19.6,0.7,2014-2015
13,New Orleans Pelicans,82,45,37,0.549,48.2,99.4,37.9,82.9,45.7,7.1,19.3,37,16.4,21.8,75.1,11.5,32,43.5,22,13.3,6.7,6.2,5.8,18.7,18.7,0.8,2014-2015
