TEAM,GP,W,L,MIN,DEFRTG,DREB,DREB%,STL,BLK,Opp PTS OFF TOV,Opp PTS 2nd CHANCE,Opp PTS FB,Opp PTS PAINT,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,Season,Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Atlanta Hawks,82,48,34,48.4,98.8,33.8,74.6,9.1,5.9,16,13.1,11.9,40.9,82,48,34,3966,103,98.8,4.1,66.3,1.71,19.1,19.1,74.6,47.5,15,51.6,55.2,99.4,52.8,2015-2016,Atlanta Hawks,41.75,10.71,13.84,33.45,0.25,12.76,12.58,10.47,10.41,14.69,14.22,2015-2016,REG,82
Boston Celtics,82,48,34,48.2,100.9,33.3,74.6,9.2,4.2,14.8,14.2,10.8,43,82,48,34,3956,103.9,100.9,3,61.6,1.76,17.6,25.1,74.6,49.4,13.5,48.8,53.1,101.15,52,2015-2016,Boston Celtics,42.73,12.51,15.55,29,0.21,12.43,12.38,10.01,10.1,14.33,14.17,2015-2016,REG,82
Brooklyn Nets,82,21,61,48.2,108.5,31.9,75.7,7.6,4,18.3,12.1,14.5,47.9,82,21,61,3951,100.9,108.5,-7.6,58.3,1.51,17.1,24.1,75.7,49.4,15.1,49.2,52.7,97.37,46,2015-2016,Brooklyn Nets,43.68,16.32,18.1,21.68,0.23,11.66,12.34,9.79,10.03,13.21,14.47,2015-2016,REG,82
Charlotte Hornets,82,48,34,48.4,101.8,35,79.8,7.3,5.3,14.1,11.4,12.4,40,82,48,34,3971,105.1,101.8,3.3,58.6,1.73,16.8,20,79.8,49.6,12.7,50.2,54.5,97.8,51.1,2015-2016,Charlotte Hornets,36.4,13.29,15.52,34.64,0.14,13.73,13.05,11.68,10.97,15.33,14.71,2015-2016,REG,82
Chicago Bulls,82,42,40,48.5,103.9,35.2,74.9,6,5.7,16,14.3,13.8,44.4,82,42,40,3981,102.1,103.9,-1.8,59.1,1.64,17.1,24.5,74.9,50.2,14,48.7,52.6,98.25,49.4,2015-2016,Chicago Bulls,41.5,15.43,18.51,24.11,0.45,12.32,12.23,10.71,10.18,13.58,13.85,2015-2016,REG,82
Cleveland Cavaliers,82,57,25,48.4,102.3,33.9,78.5,6.7,3.9,15.6,11.2,11.2,40.8,82,57,25,3971,108.1,102.3,5.8,58.7,1.67,17.5,25.1,78.5,52,14.1,52.4,55.8,95.48,52.8,2015-2016,Cleveland Cavaliers,39.39,12.83,12.52,35.09,0.17,13.33,12.46,11.03,10.22,15.3,14.28,2015-2016,REG,82
Dallas Mavericks,82,42,40,48.8,104.3,33.9,76.2,6.8,3.7,14.8,13.4,16,40.9,82,42,40,4001,104.8,104.3,0.6,59.2,1.73,17.2,20.6,76.2,48.5,13.1,50.2,54.4,96.4,50.3,2015-2016,Dallas Mavericks,35.79,14.47,15.87,33.6,0.28,13.71,13.07,11.4,10.77,15.55,14.96,2015-2016,REG,82
Denver Nuggets,82,33,49,48.4,106.4,33.1,77.3,7.4,4.8,16.8,12.1,13,43.1,82,33,49,3966,102.7,106.4,-3.7,60.1,1.55,17,25.8,77.3,51.1,14.8,48.9,53.1,98.16,47.9,2015-2016,Denver Nuggets,47.41,10.53,14.18,27.6,0.29,11.81,12.62,9.65,10.53,13.53,14.41,2015-2016,REG,82
Detroit Pistons,82,44,38,48.5,103.4,33.9,79.3,7,3.7,14.6,10.7,10.4,44.4,82,44,38,3976,103.3,103.4,-0.2,51.2,1.44,14.9,27,79.3,52.1,13.7,49.1,52.2,97.39,48.6,2015-2016,Detroit Pistons,44.16,13.92,11.66,29.76,0.51,12.33,11.95,10.09,9.85,14.09,13.74,2015-2016,REG,82
Golden State Warriors,82,73,9,48.5,100.9,36.2,76,8.4,6.1,16.6,13.8,14.5,45.1,82,73,9,3976,112.5,100.9,11.6,68,1.91,20.5,23.5,76,51.3,14.9,56.3,59.3,101.65,56.7,2015-2016,Golden State Warriors,39.59,12.24,11.94,35.9,0.34,13.48,12.42,11.63,10.16,15.24,14.15,2015-2016,REG,82
Houston Rockets,82,41,41,48.4,105.6,31.7,72.8,10,5.2,19.5,14.7,14.4,44.6,82,41,41,3966,105.5,105.6,-0.2,58.9,1.39,16.5,25.7,72.8,49.1,15.8,51.6,55.3,100.08,49,2015-2016,Houston Rockets,45.78,9.03,8.17,36.6,0.41,12.55,12.66,9.9,10.32,14.74,14.63,2015-2016,REG,82
Indiana Pacers,82,45,37,48.5,100.2,33.9,76,9,4.8,16.3,13,12.2,41.6,82,45,37,3976,102.4,100.2,2.2,55.4,1.43,16.2,23.4,76,49.8,14.9,49.7,53.6,98.99,51.8,2015-2016,Indiana Pacers,37.32,13.85,21.88,26.66,0.3,13.15,12.76,10.75,10.45,15.11,14.58,2015-2016,REG,82
Los Angeles Clippers,82,53,29,48.4,100.9,33.3,73.8,8.6,5.6,14.5,13.8,12.4,41.3,82,53,29,3966,106.5,100.9,5.5,59.6,1.76,17.6,20.1,73.8,47.4,13.2,52.4,55.6,97.97,53.3,2015-2016,Los Angeles Clippers,34.76,11.58,21.62,31.75,0.29,14.15,12.58,11.82,10.34,16.17,14.3,2015-2016,REG,82
