city,state,zipcode,county,employer_name,case_number
SEATTLE ,WASHINGTON ,98104 ,KING ,MCGRAW-HILL GLOBAL EDUCATION LLC ,I-200-16344-056910 
BOSTON ,MASSACHUSETTS ,02210 ,SUFFOLK ,"MCGRAW-HILL GLOBAL EDUCATION, LLC ",I-200-16337-340146 
NEW YORK ,NEW YORK ,10121 ,NEW YORK ,"MCGRAW-HILL GLOBAL EDUCATION, LLC ",I-200-16298-970526 
DALLAS ,TEXAS ,75201 ,DALLAS COUNTY ,LUMINANT ENERGY COMPANY LLC ,I-200-16197-753156 
LA JOLLA ,CALIFORNIA ,92037 ,SAN DIEGO ,THE SCRIPPS RESEARCH INSTITUTE ,I-200-16279-956073 
LA JOLLA ,CALIFORNIA ,92037 ,SAN DIEGO ,THE SCRIPPS RESEARCH INSTITUTE ,I-200-16183-139629 
LA JOLLA ,CALIFORNIA ,92037 ,SAN DIEGO ,THE SCRIPPS RESEARCH INSTITUTE ,I-200-16270-088748 
JUPITER ,FLORIDA ,33458 ,PALM BEACH ,"THE SCRIPPS RESEARCH INSTITUTE, SCRIPPS FLORIDA ",I-200-16263-553006 
LA JOLLA ,CALIFORNIA ,92037 ,SAN DIEGO ,THE SCRIPPS RESEARCH INSTITUTE ,I-200-16253-159296 
LA JOLLA ,CALIFORNIA ,92037 ,SAN DIEGO ,THE SCRIPPS RESEARCH INSTITUTE ,I-200-16244-661757 
LA JOLLA ,CALIFORNIA ,92037 ,SAN DIEGO ,THE SCRIPPS RESEARCH INSTITUTE ,I-200-16181-352336 
JUPITER ,FLORIDA ,33458 ,PALM BEACH ,"THE SCRIPPS RESEARCH INSTITUTE, SCRIPPS FLORIDA ",I-200-16147-127577 
SAN JOSE ,CALIFORNIA ,95134 ,SANTA CLARA COUNTY ,"ZSCALER, INC. ",I-200-16280-488188 
SAN JOSE ,CALIFORNIA ,95134 ,SANTA CLARA COUNTY ,"ZSCALER, INC. ",I-200-16271-180240 
SAN JOSE ,CALIFORNIA ,95134 ,SANTA CLARA ,"ZSCALER, INC. ",I-200-16271-446856 
SAN JOSE ,CALIFORNIA ,95134 ,SANTA CLARA ,"ZSCALER, INC. ",I-200-16119-050545 
SAN CARLOS ,CALIFORNIA ,94070 ,SAN MATEO ,MORRISON & FOERSTER LLP ,I-200-16335-295732 
MIAMI ,FLORIDA ,33131 ,MIAMI-DADE ,"MORRISON, BROWN, ARGIZ & FARRA, LLC ",I-200-16287-553170 
FORT WASHINGTON ,MARYLAND ,20744 ,PRINCE GEORGE'S COUNTY ,"ADVANCED MEDICAL & PROFESSIONAL SOLUTIONS, INC ",I-200-16224-101641 
TYSONS CORNER ,VIRGINIA ,22182 ,FAIRFAX ,"ADVANCED MEDICAL & PROFESSIONAL SOLUTIONS, INC ",I-200-16224-454821 
FALLS CHURCH ,VIRGINIA ,22043 ,FAIRFAX ,"ADVANCED MEDICAL & PROFESSIONAL SOLUTIONS, INC ",I-200-16224-933450 
THE WOODLANDS ,TEXAS ,77384 ,MONTGOMERY ,ADVANCED MEDICAL PHYSICS ,I-200-16131-079718 
ST. LOUIS ,MISSOURI ,63103 ,SAINT LOUIS CITY COUNTY ,"MARLABS, INC. ",I-200-16342-818643 
PISCATAWAY ,NEW JERSEY ,08854 ,MIDDLESEX COUNTY ,"MARLABS, INC. ",I-200-16336-684918 
WESTERVILLE ,OHIO ,43081 ,FRANKLIN COUNTY ,"MARLABS, INC. ",I-200-16334-659846 
MIAMI ,FLORIDA ,33178 ,MIAMI-DADE COUNTY ,"MARLABS, INC. ",I-200-16334-963519 
NEW YORK ,NEW YORK ,10011 ,NEW YORK COUNTY ,"MARLABS, INC. ",I-200-16334-440292 
NEW YORK ,NEW YORK ,10007 ,NEW YORK COUNTY ,"MARLABS, INC. ",I-200-16327-579499 
WASHINGTON ,DISTRICT OF COLUMBIA ,20024 ,DISTRICT OF COLUMBIA COUNTY ,"MARLABS, INC. ",I-200-16326-787742 
PARAMUS ,NEW JERSEY ,07652 ,BERGEN COUNTY ,"MARLABS, INC. ",I-200-16326-552541 
WALLINGFORD ,CONNECTICUT ,06492 ,NEW HAVEN COUNTY ,"MARLABS, INC. ",I-200-16322-390008 
ROCKVILLE ,MARYLAND ,20850 ,MONTGOMERY COUNTY ,"MARLABS, INC. ",I-200-16320-637147 
NEW YORK ,NEW YORK ,10038 ,NEW YORK COUNTY ,"MARLABS, INC. ",I-200-16172-330077 
HARRISON ,NEW YORK ,10528 ,WESTCHESTER COUNTY ,"MARLABS, INC. ",I-200-16319-235211 
REDMOND ,WASHINGTON ,98052 ,KING COUNTY ,"MARLABS, INC. ",I-200-16316-846336 
NEW YORK ,NEW YORK ,10285 ,NEW YORK COUNTY ,"MARLABS, INC. ",I-200-16315-809678 
URBANDALE ,IOWA ,50323 ,DALLAS COUNTY ,"MARLABS, INC. ",I-200-16314-524496 
COLUMBUS ,OHIO ,43240 ,DELAWARE COUNTY ,"MARLABS, INC. ",I-200-16313-216342 
BROOKLYN ,NEW YORK ,11201 ,KINGS COUNTY ,"MARLABS, INC. ",I-200-16313-401921 
MIDDLETOWN ,NEW JERSEY ,07748 ,MONMOUTH COUNTY ,"MARLABS, INC. ",I-200-16313-901642 
NORFOLK ,VIRGINIA ,23502 ,NORFOLK CITY COUNTY ,"MARLABS, INC. ",I-200-16313-927277 
PARAMUS ,NEW JERSEY ,07652 ,BERGEN COUNTY ,"MARLABS, INC. ",I-200-16312-287374 
RIDGEFIELD PARK ,NEW JERSEY ,07660 ,BERGEN COUNTY ,"MARLABS, INC. ",I-200-16312-372611 
NEW YORK ,NEW YORK ,10172 ,NEW YORK COUNTY ,"MARLABS, INC. ",I-200-16309-220279 
MIAMI ,FLORIDA ,33178 ,MIAMI-DADE COUNTY ,"MARLABS, INC. ",I-200-16309-329747 
SAINT LOUIS ,MISSOURI ,63103 ,SAINT LOUIS CITY COUNTY ,"MARLABS, INC. ",I-200-16309-886035 
MADISON ,WISCONSIN ,53783 ,DANE COUNTY ,"MARLABS, INC. ",I-200-16309-465788 
DURHAM ,NORTH CAROLINA ,27709 ,DURHAM COUNTY ,"MARLABS, INC. ",I-200-16308-628183 
OMAHA ,NEBRASKA ,68137 ,DOUGLAS COUNTY ,"MARLABS, INC. ",I-200-16308-710191 
LAKE OSWEGO ,OREGON ,97035 ,CLACKAMAS COUNTY ,"MARLABS, INC. ",I-200-16307-867386 
DES MOINES ,IOWA ,50322 ,POLK COUNTY ,"MARLABS, INC. ",I-200-16305-038830 
TAMPA ,FLORIDA ,33607 ,HILLSBOROUGH COUNTY ,"MARLABS, INC. ",I-200-16301-008780 
RIDGEFIELD PARK ,NEW JERSEY ,07660 ,BERGEN COUNTY ,"MARLABS, INC. ",I-200-16300-069778 
PALATINE ,ILLINOIS ,60067 ,COOK COUNTY ,"MARLABS, INC. ",I-200-16287-233349 
BETHESDA ,MARYLAND ,20814 ,MONTGOMERY COUNTY ,"MARLABS, INC. ",I-200-16280-410587 
BOSTON ,MASSACHUSETTS ,02110 ,SUFFOLK COUNTY ,"MARLABS, INC. ",I-200-16279-580802 
LUTHERVILLE-TIMONIUM ,MARYLAND ,21093 ,BALTIMORE COUNTY ,"MARLABS, INC. ",I-200-16278-783925 
IRVING ,TEXAS ,75038 ,DALLAS COUNTY ,"MARLABS, INC. ",I-200-16278-061920 
ENGLEWOOD ,COLORADO ,80112 ,ARAPAHOE COUNTY ,"MARLABS, INC. ",I-200-16277-882848 
ENGLEWOOD ,COLORADO ,80112 ,ARAPAHOE COUNTY ,"MARLABS, INC. ",I-200-16274-478036 
WHIPPANY ,NEW JERSEY ,07981 ,MORRIS COUNTY ,"MARLABS, INC. ",I-200-16274-789704 
