city,state,zipcode,county,employer_name,case_number
NEWARK ,CALIFORNIA ,94560 ,ALAMEDA ,CLOUDWICK TECHNOLOGIES INC. ,I-200-16344-787050 
RICHARDSON ,TEXAS ,75080 ,DALLAS ,CLOUDWICK TECHNOLOGIES INC. ,I-200-16330-154920 
NEWARK ,CALIFORNIA ,94560 ,CALIFORNIA ,CLOUDWICK TECHNOLOGIES INC. ,I-200-16313-575231 
RICHARDSON ,TEXAS ,75080 ,DALLAS ,CLOUDWICK TECHNOLOGIES INC. ,I-200-16309-966852 
BEAVERTON ,OREGON ,97006 ,WASHINGTON ,CLOUDWICK TECHNOLOGIES INC. ,I-200-16299-742429 
NEWARK ,CALIFORNIA ,94560 ,ALAMEDA ,CLOUDWICK TECHNOLOGIES INC. ,I-200-16277-177835 
NEWARK ,CALIFORNIA ,94560 ,CALIFORNIA ,CLOUDWICK TECHNOLOGIES INC. ,I-200-14204-618875 
MOUNTAIN VIEW ,CALIFORNIA ,94040 ,SANTA CLARA ,CLOUDWICK TECHNOLOGIES INC. ,I-200-09209-039181 
NEWARK ,CALIFORNIA ,94560 ,CALIFORNIA ,CLOUDWICK TECHNOLOGIES INC. ,I-200-09209-682701 
NEWARK ,CALIFORNIA ,94560 ,ALAMEDA ,CLOUDWICK TECHNOLOGIES INC. ,I-200-16153-958659 
ALBANY ,NEW YORK ,12210 ,ALBANY ,"FUTURETECH CONSULTANTS, L.L.C ",I-200-16343-566711 
ATLANTA ,GEORGIA ,30303 ,FULTON ,"FUTURETECH CONSULTANTS, L.L.C ",I-200-16343-067556 
ALBANY ,NEW YORK ,12237 ,ALBANY ,"FUTURETECH CONSULTANTS, L.L.C ",I-200-16340-536875 
ANCHORAGE ,ALASKA ,99501 ,ANCHORAGE ,CONOCOPHILLIPS COMPANY ,I-200-16285-201504 
IRVING ,TEXAS ,75038 ,DALLAS ,"SUNERA TECHNOLOGIES, INC ",I-200-16358-704711 
GRAND RAPIDS ,MICHIGAN ,49512 ,KENT ,"SUNERA TECHNOLOGIES, INC ",I-200-16358-380524 
CHICAGO ,ILLINOIS ,60661 ,COOK ,"SUNERA TECHNOLOGIES, INC ",I-200-16327-088630 
CHERRY HILL ,NEW JERSEY ,08002 ,CAMDEN ,"SUNERA TECHNOLOGIES, INC ",I-200-16321-396261 
