city,state,zipcode,county,employer_name,case_number
SCHAUMBURG ,ILLINOIS ,60173 ,COOK ,LEX NIMBLE SOLUTIONS INC. ,I-200-16252-003388 
SCHAUMBURG ,ILLINOIS ,60173 ,COOK ,LEX NIMBLE SOLUTIONS INC. ,I-200-16251-299991 
SCHAUMBURG ,ILLINOIS ,60173 ,COOK ,LEX NIMBLE SOLUTIONS INC. ,I-200-16242-540462 
SCHAUMBURG ,ILLINOIS ,60173 ,COOK ,LEX NIMBLE SOLUTIONS INC. ,I-200-16242-263964 
SCHAUMBURG ,ILLINOIS ,60173 ,COOK ,LEX NIMBLE SOLUTIONS INC. ,I-200-16238-855226 
SCHAUMBURG ,ILLINOIS ,60173 ,COOK ,LEX NIMBLE SOLUTIONS INC. ,I-200-16222-243376 
CHANTILLY ,VIRGINIA ,20151 ,FAIRFAX ,"GLOBALGATE IT SOLUTIONS, LLC ",I-200-16270-574461 
CHANTILLY ,VIRGINIA ,20151 ,FAIRFAX ,"GLOBALGATE IT SOLUTIONS, LLC ",I-200-16267-868165 
TALLAHASSE ,FLORIDA ,32399 ,LEON ,A1 KAISER INC ,I-200-16340-048374 
PULASKI ,TENNESSEE ,38478 ,GILES ,A1 KAISER INC ,I-200-16334-592027 
TALLAHASSEE ,FLORIDA ,32399-2500 ,LEON ,A1 KAISER INC ,I-200-16312-710442 
ROCHESTER ,MINNESOTA ,55901 ,OLMSTED ,A1 KAISER INC ,I-200-16293-962039 
NATIONAL HARBOR ,MARYLAND ,20745 ,PRINCE GEORGES ,A1 KAISER INC ,I-200-16279-196807 
ATLANTA ,GEORGIA ,30328 ,FULTON ,A1 KAISER INC ,I-200-16272-033249 
ST. LOUIS ,MISSOURI ,63167 ,ST. LOUIS ,A1 KAISER INC ,I-200-16270-578489 
NEW YORK ,NEW YORK ,10019 ,NEW YORK ,BARCLAYS CAPITAL INC. ,I-200-16321-989285 
SAN FRANCISCO ,CALIFORNIA ,94104 ,SAN FRANCISCO ,BARCLAYS CAPITAL INC. ,I-200-16316-296592 
