city,state,zipcode,county,employer_name,case_number
KANSAS CITY ,KANSAS ,66104 ,WYANDOTTE ,UNIFIED SCHOOL DISTRICT NO. 500 ,I-200-16321-667951 
LIBERAL ,KANSAS ,67901 ,SEWARD COUNTY ,UNIFIED SCHOOL DISTRICT # 480 ,I-200-16313-276986 
SAN JOSE ,CALIFORNIA ,95126 ,SANTA CLARA ,SAN JOSE UNIFIED SCHOOL DISTRICT ,I-200-16305-736389 
VALLEJO ,CALIFORNIA ,94591 ,SOLANO ,VALLEJO CITY UNIFIED SCHOOL DISTRICT ,I-200-16305-998027 
TUCSON ,ARIZONA ,85705 ,PIMA ,TUCSON UNIFIED SCHOOL DISTRICT ,I-200-16301-472722 
TUCSON ,ARIZONA ,85705 ,PIMA ,TUCSON UNIFIED SCHOOL DISTRICT ,I-200-16291-859027 
SCOTT CITY ,KANSAS ,67871 ,SCOTT ,UNIFIED SCHOOL DISTRICT NO. 466 ,I-200-16280-166708 
TUCSON ,ARIZONA ,85706 ,PIMA ,SUNNYSIDE UNIFIED SCHOOL DISTRICT #12 ,I-200-16265-144188 
COMPTON ,CALIFORNIA ,90221 ,LOS ANGELES ,COMPTON UNIFIED SCHOOL DISTRICT ,I-200-16263-676489 
CERES ,CALIFORNIA ,95307 ,STANISLAUS ,CERES UNIFIED SCHOOL DISTRICT ,I-200-16260-685580 
BAGDAD ,ARIZONA ,86321 ,YAVAPAI ,BAGDAD UNIFIED SCHOOL DISTRICT ,I-200-16258-867045 
SAN CARLOS ,ARIZONA ,85550 ,GILA ,SAN CARLOS UNIFIED SCHOOL DISTRICT NO. 20 ,I-200-16250-382889 
RICHMOND ,CALIFORNIA ,94805 ,CONTRA COSTA ,WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT ,I-200-16236-735389 
LOS ANGELES ,CALIFORNIA ,90017 ,LOS ANGELES ,LOS ANGELES UNIFIED SCHOOL DISTRICT ,I-200-16222-499545 
VALLEJO ,CALIFORNIA ,94590 ,SOLANO ,VALLEJO CITY UNIFIED SCHOOL DISTRICT ,I-200-16194-021515 
MOJAVE ,CALIFORNIA ,93501 ,KERN COUNTY ,MOJAVE UNIFIED SCHOOL DISTRICT ,I-200-16215-544286 
RICHMOND ,CALIFORNIA ,94801 ,CONTRA COSTA ,WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT ,I-200-16148-971967 
WICHITA ,KANSAS ,67203 ,SEDGWICK ,"UNIFIED SCHOOL DISTRICT NO. 259, SEDGWICK COUNTY, KS ",I-200-16207-603627 
LOS ANGELES ,CALIFORNIA ,90017 ,LOS ANGELES ,LOS ANGELES UNIFIED SCHOOL DISTRICT ,I-200-16182-542657 
BAGDAD ,ARIZONA ,86321 ,YAVAPAI ,BAGDAD UNIFIED SCHOOL DISTRICT ,I-200-16181-276475 
WICHITA ,KANSAS ,67218 ,SEDGWICK ,"UNIFIED SCHOOL DISTRICT NO. 259, SEDGWICK COUNTY, KS ",I-200-16166-913008 
TUCSON ,ARIZONA ,85706 ,PIMA ,SUNNYSIDE UNIFIED SCHOOL DISTRICT #12 ,I-200-16160-965989 
OAKLAND ,CALIFORNIA ,94601 ,ALAMEDA ,OAKLAND UNIFIED SCHOOL DISTRICT ,I-200-16112-579265 
COOLIDGE ,ARIZONA ,85128 ,PINAL ,COOLIDGE UNIFIED SCHOOL DISTRICT #2 ,I-200-16132-363070 
STOCKTON ,CALIFORNIA ,95210 ,SAN JOAQUIN ,LODI UNIFIED SCHOOL DISTRICT ,I-200-16126-399274 
PARKER ,ARIZONA ,85344 ,LA PAZ ,PARKER UNIFIED SCHOOL DISTRICT #27 ,I-200-16125-081530 
WATSONVILLE ,CALIFORNIA ,95076 ,SANTA CRUZ ,PAJARO VALLEY UNIFIED SCHOOL DISTRICT ,I-200-16116-466625 
GILBERT ,ARIZONA ,85295 ,MARICOPA ,HIGLEY UNIFIED SCHOOL DISTRICT ,I-200-16112-758435 
COOLIDGE ,ARIZONA ,85128 ,PINAL ,COOLIDGE UNIFIED SCHOOL DISTRICT #2 ,I-200-16104-539321 
COOLIDGE ,ARIZONA ,85128 ,PINAL ,COOLIDGE UNIFIED SCHOOL DISTRICT #2 ,I-200-16104-151668 
GILBERT ,ARIZONA ,85295 ,MARICOPA ,HIGLEY UNIFIED SCHOOL DISTRICT ,I-200-16082-235612 
PORTLAND ,OREGON ,97219 ,MULTNOMAH ,ALVAREZ & MARSAL HOLDINGS LLC ,I-200-16313-278497 
NEW YORK ,NEW YORK ,10022 ,NEW YORK ,"ALVAREZ & MARSAL CORPORATE PERFORMANCE IMPROVEMENT, LLC ",I-200-16250-586062 
REYNOLDSBURG ,OHIO ,43068 ,FRANKLIN ,"MAST LOGISTICS SERVICES, INC. ",I-200-16313-280663 
PUYALLUP ,WASHINGTON ,98374 ,PIERCE ,SEA MAR COMMUNITY HEALTH CENTERS ,I-200-16355-787654 
SEATTLE ,WASHINGTON ,98108 ,KING ,SEA MAR COMMUNITY HEALTH CENTERS ,I-200-16313-282773 
EAST WINDSOR ,NEW JERSEY ,08520 ,MERCER ,EZ SOLUTIONS INC ,I-200-16357-646754 
EAST WINDSOR ,NEW JERSEY ,08520 ,MERCER ,EZ SOLUTIONS INC ,I-200-16341-419186 
EAST WINDSOR ,NEW JERSEY ,08520 ,MERCER ,EZ SOLUTIONS INC ,I-200-16335-343082 
EAST WINDSOR ,NEW JERSEY ,08520 ,MERCER ,EZ SOLUTIONS INC ,I-200-16313-284255 
