city,state,zipcode,county,employer_name,case_number
BETHPAGE ,NEW YORK ,11714 ,NASSAU ,IT & EBUSINESS CONSULTING SERVICES INC. ,I-200-16297-991905 
BETHPAGE ,NEW YORK ,11714 ,NASSAU ,IT & EBUSINESS CONSULTING SERVICES INC. ,I-200-16291-502203 
BETHPAGE ,NEW YORK ,11714 ,NASSAU ,IT & EBUSINESS CONSULTING SERVICES INC. ,I-200-16291-358852 
BETHPAGE ,NEW YORK ,11714 ,NASSAU ,IT & EBUSINESS CONSULTING SERVICES INC. ,I-200-16291-723199 
BETHPAGE ,NEW YORK ,11714 ,NASSAU ,IT & EBUSINESS CONSULTING SERVICES INC. ,I-200-16291-900730 
BETHPAGE ,NEW YORK ,11714 ,NASSAU ,IT & EBUSINESS CONSULTING SERVICES INC. ,I-200-16286-256489 
NEW YORK ,NEW YORK ,10003 ,NEW YORK ,"SHIFT OCCUPATIONAL, PHYSICAL THERAPY AND CHIROPRACTIC, PLLC ",I-200-16286-263835 
DALLAS ,TEXAS ,75244 ,DALLAS ,"ONE NETWORK ENTERPRISES, INC. ",I-200-16299-974491 
DALLAS ,TEXAS ,75244 ,DALLAS ,"ONE NETWORK ENTERPRISES, INC. ",I-200-16139-077238 
HAUPPAUGE ,NEW YORK ,11788 ,SUFFOLK ,CHARLES ROSS & SON COMPANY ,I-200-16286-272671 
LONG ISLAND CITY ,NEW YORK ,11101 ,QUEENS ,JETBLUE AIRWAYS ,I-200-16307-135199 
LONG ISLAND CITY ,NEW YORK ,11101 ,QUEENS ,JETBLUE AIRWAYS ,I-200-16299-318243 
LONG ISLAND CITY ,NEW YORK ,11101 ,QUEENS ,JETBLUE AIRWAYS ,I-200-16132-906612 
DALLAS ,TEXAS ,75252 ,DALLAS ,GCB SERVICES LLC ,I-200-16127-542150 
SOMERSET ,NEW JERSEY ,08873 ,SOMERSET ,"NOVEL LABORATORIES, INC. ",I-200-16244-030660 
SOMERSET ,NEW JERSEY ,08873 ,SOMERSET ,"NOVEL LABORATORIES, INC. ",I-200-16166-949928 
SOMERSET ,NEW JERSEY ,08873 ,SOMERSET ,"NOVEL LABORATORIES, INC. ",I-200-16139-530731 
LATHAM ,NEW YORK ,12110 ,ALBANY ,SMART IT FRAME LLC ,I-200-16363-535113 
BRIDGEWATER ,NEW JERSEY ,08807 ,SOMERSET ,SMART IT FRAME LLC ,I-200-16323-558607 
JERSEY CITY ,NEW JERSEY ,07302 ,HUDSON ,SMART IT FRAME LLC ,I-200-16306-756611 
WHITE PLAINS ,NEW YORK ,10604 ,WESTCHESTER ,SMART IT FRAME LLC ,I-200-16306-842553 
ALBANY ,NEW YORK ,12237 ,ALBANY ,SMART IT FRAME LLC ,I-200-16306-330815 
TAMPA ,FLORIDA ,33607 ,HILLSBOROUGH ,SMART IT FRAME LLC ,I-200-16306-642038 
JERSEY CITY ,TEXAS ,07302 ,HUDSON ,SMART IT FRAME LLC ,I-200-16306-886794 
JERSEY CITY ,NEW JERSEY ,07302 ,HUDSON ,SMART IT FRAME LLC ,I-200-16286-276444 
NEW YORK ,NEW YORK ,10001 ,NEW YORK ,JLH EXPERIENTIAL LLC ,I-200-16286-279130 
ROCKVILLE ,MARYLAND ,20850 ,MONTGOMERY ,"FLAGSHIP REHABILITATION, INC. ",I-200-16286-281204 
TAMPA ,FLORIDA ,33637 ,HILLSBOROUGH ,TECHNOLOGY HUB INC ,I-200-16333-928812 
ASHBURN ,VIRGINIA ,20147 ,LOUDOUN COUNTY ,TECHNOLOGY HUB INC ,I-200-16321-912120 
PITTSBURGH ,PENNSYLVANIA ,15205 ,ALLEGHENY ,TECHNOLOGY HUB INC ,I-200-16286-281407 
