city,state,zipcode,county,employer_name,case_number
NEW ORLEANS ,LOUISIANA ,70115 ,ORLEANS ,"DR. BRAIN, INC. ",I-200-16292-168663 
WASHINGTON ,DISTRICT OF COLUMBIA ,20015 ,DISTRICT OF COLUMBIA ,SARAS AMERICA INC. ,I-200-16355-115088 
WASHINGTON ,DISTRICT OF COLUMBIA ,20015 ,DISTRICT OF COLUMBIA ,SARAS AMERICA INC. ,I-200-16322-232632 
AUBURN HILLS ,MICHIGAN ,48326 ,OAKLAND ,SARAS AMERICA INC. ,I-200-16285-845428 
ST. PAUL ,MINNESOTA ,55155 ,RAMSEY ,SARAS AMERICA INC. ,I-200-16274-774343 
SPRING ,TEXAS ,77389 ,HARRIS ,SRIMATRIX INC. ,I-200-16292-188282 
HOPKINS ,MINNESOTA ,55343 ,HENNEPIN ,SRIMATRIX INC. ,I-200-16258-303488 
BALTIMORE ,MARYLAND ,21231 ,BALTIMORE CITY ,"BARCODING, INC. ",I-200-16348-729586 
SUNNYVALE ,CALIFORNIA ,94089 ,SANTA CLARA ,"BARCO, INC. ",I-200-16200-772360 
LA JOLLA ,CALIFORNIA ,92037 ,SAN DIEGO ,J. CRAIG VENTER INSTITUTE ,I-200-16292-191886 
BOSTON ,MASSACHUSETTS ,02135 ,SUFFOLK ,"OPTIMAL PARTNERS CONSULTING, LLC ",I-200-16292-198098 
HOUSTON ,TEXAS ,77002 ,HARRIS ,MADDISOFT LLC ,I-200-16358-680327 
OMAHA ,NEBRASKA ,68137 ,DOUGLAS ,MADDISOFT LLC ,I-200-16358-592813 
JERSEY CITY ,NEW JERSEY ,07310 ,HUDSON ,"SERENITY INFOTECH, INC. ",I-200-16320-079265 
SUWANEE ,GEORGIA ,30024 ,GWINNETT ,"SERENITY INFOTECH, INC. ",I-200-16315-249313 
AUBURN HILLS ,MICHIGAN ,48326 ,OAKLAND ,"SERENITY INFOTECH, INC. ",I-200-16315-658067 
SARASOTA ,FLORIDA ,34236 ,SARASOTA ,DELICATESSEN SERVICES COMPANY LLC ,I-200-16141-987344 
SARASOTA ,FLORIDA ,34236 ,SARASOTA ,DELICATESSEN SERVICES COMPANY LLC ,I-200-16127-066585 
PLANO ,TEXAS ,75024 ,COLLIN ,"W3GLOBAL, INC. ",I-200-16334-791773 
IRVING ,TEXAS ,75038 ,DALLAS ,"W3GLOBAL, INC. ",I-200-16320-213265 
DALLAS ,TEXAS ,75204 ,DALLAS ,"W3GLOBAL, INC ",I-200-16313-683146 
LINDEN ,NEW JERSEY ,07036 ,UNION ,"W3GLOBAL, INC. ",I-200-16300-315612 
SOUTH SAN FRANCISCO ,CALIFORNIA ,94080 ,SAN MATEO ,"W3GLOBAL, INC ",I-200-16292-229078 
COPPELL ,TEXAS ,75019 ,DALLAS ,"W3GLOBAL, INC. ",I-200-16291-216259 
PLANO ,TEXAS ,75024 ,COLLIN ,"W3GLOBAL, INC. ",I-200-16285-723781 
