city,state,zipcode,county,employer_name,case_number
BOSTON ,MASSACHUSETTS ,02111 ,SUFFOLK ,K&L GATES LLP ,I-200-16210-423432 
SAN DIEGO ,CALIFORNIA ,92122 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16349-021043 
SAN DIEGO ,CALIFORNIA ,92122 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16344-497342 
SAN DIEGO ,CALIFORNIA ,92122 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16344-680157 
SAN DIEGO ,CALIFORNIA ,92122 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16334-817023 
SAN DIEGO ,CALIFORNIA ,92122 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16307-305966 
SAN DIEGO ,CALIFORNIA ,92122 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16305-184755 
SAN DIEGO ,CALIFORNIA ,92112 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16305-176904 
SAN DIEGO ,CALIFORNIA ,92122 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16271-659314 
SAN DIEGO ,CALIFORNIA ,92122 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16111-657051 
SAN DIEGO ,CALIFORNIA ,92122 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16111-566388 
SAN DIEGO ,CALIFORNIA ,92122 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16110-274606 
SAN DIEGO ,CALIFORNIA ,92122 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16098-172489 
SAN DIEGO ,CALIFORNIA ,92122 ,SAN DIEGO ,"ILLUMINA, INC. ",I-200-16097-292698 
ADDISON ,ILLINOIS ,60601 ,COOK ,"THE PAMPERED CHEF, LTD. ",I-200-16295-562437 
ADDISON ,ILLINOIS ,60101 ,DU PAGE ,"THE PAMPERED CHEF, LTD. ",I-200-16252-970356 
CAPTAIN COOK ,HAWAII ,96704 ,HAWAII ,HAWAIIAN SOLAR DOG LLC ,I-200-16299-570626 
CAPTAIN COOK ,HAWAII ,96704 ,HAWAII ,HAWAIIAN SOLAR DOG LLC ,I-200-16298-405162 
FORT WORTH ,TEXAS ,76131 ,TARRANT ,BNSF RAILWAY COMPANY ,I-200-16207-765589 
NEW YORK ,NEW YORK ,10017 ,NEW YORK ,"MCCANN-ERICKSON USA, INC. ",I-200-16300-909243 
STERLING HEIGHTS ,MICHIGAN ,48312 ,MACOMB ,"MOTOROLA SOLUTIONS, INC. ",I-200-16335-412681 
FOREST ,VIRGINIA ,24551 ,BEDFORD ,"MOTOROLA SOLUTIONS, INC. ",I-200-16316-817624 
LOS ANGELES ,CALIFORNIA ,90017 ,LOS ANGELES ,"MOTOROLA SOLUTIONS, INC. ",I-200-16307-869155 
SCHAUMBURG ,ILLINOIS ,60169 ,COOK ,"MOTOROLA SOLUTIONS, INC. ",I-200-16291-675166 
CHICAGO ,ILLINOIS ,60661 ,COOK ,"MOTOROLA SOLUTIONS, INC. ",I-200-16270-997208 
PLANTATION ,FLORIDA ,33322 ,BROWARD ,"MOTOROLA SOLUTIONS, INC. ",I-200-16223-948310 
PLANTATION ,FLORIDA ,33322 ,BROWARD ,"MOTOROLA SOLUTIONS, INC. ",I-200-16194-696030 
SCHAUMBURG ,ILLINOIS ,60196 ,COOK ,"MOTOROLA SOLUTIONS, INC. ",I-200-16168-016364 
SCHAUMBURG ,ILLINOIS ,60196 ,COOK ,"MOTOROLA SOLUTIONS, INC. ",I-200-16158-980349 
TEMPE ,ARIZONA ,85282 ,MARICOPA ,"MOTOROLA SOLUTIONS, INC. ",I-200-16158-094247 
SCHAUMBURG ,ILLINOIS ,60196 ,COOK ,"MOTOROLA SOLUTIONS, INC. ",I-200-16145-089991 
LOS ANGELES ,CALIFORNIA ,90017 ,LOS ANGELES ,"MOTOROLA SOLUTIONS, INC. ",I-200-16133-961690 
"RESTON, ",VIRGINIA ,20190 ,FAIRFAX ,COMPUTEK SOULUTIONS INC ,I-200-16349-988364 
"SANTA CLARA, ",CALIFORNIA ,95054 ,SANTA CLARA ,COMPUTEK SOULUTIONS INC ,I-200-16323-018068 
FREMONT ,CALIFORNIA ,94538 ,ALAMEDA ,COMPUTEK SOULUTIONS INC ,I-200-16321-067588 
MCLEAN ,VIRGINIA ,22102 ,FAIRFAX ,COMPUTEK SOULUTIONS INC ,I-200-16272-230649 
SACRAMENTO ,CALIFORNIA ,95833 ,ALAMEDA ,"AKKEN, INC. ",I-200-16309-217497 
LEWISBURG ,PENNSYLVANIA ,17837 ,UNION ,BUCKNELL UNIVERSITY ,I-200-16123-637677 
ARLINGTON ,TEXAS ,76006 ,TARRANT ,"LAM, PO & XU, CPA'S ",I-200-16281-558005 
NILES ,ILLINOIS ,60714 ,COOK ,"ADVENT GLOBAL SOLUTIONS, INC. ",I-200-16356-082643 
ATLANTA ,GEORGIA ,30324 ,FULTON ,"ADVENT GLOBAL SOLUTIONS, INC. ",I-200-16355-291036 
CHICAGO ,ILLINOIS ,60642 ,COOK ,ADVENT GLOBAL SOLUTIONS INC ,I-200-16337-560633 
MENLO PARK ,CALIFORNIA ,94025 ,SAN MATEO ,ADVENT GLOBAL SOLUTIONS INC ,I-200-16335-927667 
ANAHEIM ,CALIFORNIA ,92806 ,ORANGE ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16314-939085 
SAN ANOTONIO ,TEXAS ,78259 ,BEXAR ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16300-878811 
SKILLMAN ,NEW JERSEY ,08558 ,SOMERSET ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16291-006165 
KING OF PRUSSIA ,PENNSYLVANIA ,19406 ,MONTGOMERY ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16285-884630 
SOUTH BLOOMINGTON ,ILLINOIS ,61791 ,MCLEAN ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16279-611816 
MASON ,MICHIGAN ,48854 ,INGHAM ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16277-458371 
SAN DIEGO ,CALIFORNIA ,92130 ,SAN DIEGO ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16277-794078 
ANAHEIM ,CALIFORNIA ,92806 ,ORANGE ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16265-658045 
LOUISVILLE ,KENTUCKY ,40202 ,JEFFERSON ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16244-720746 
SAN FRANCISCO ,CALIFORNIA ,94111 ,SAN FRANCISCO ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16244-532429 
CHICAGO ,ILLINOIS ,60607 ,COOK ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16244-376421 
CYPRESS ,CALIFORNIA ,90630 ,ORANGE ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16243-239248 
GRAFTON ,WISCONSIN ,53024 ,OZAUKEE ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16229-906622 
LOUISVILLE ,KENTUCKY ,40202 ,JEFFERSON ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16215-922333 
NORTHBROOK ,ILLINOIS ,60062 ,COOK ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16204-329534 
WOODCLIFF LAKE ,NEW JERSEY ,07677 ,BERGEN ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16201-713674 
BELLEVUE ,WASHINGTON ,98006 ,KING ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16200-861925 
KING OF PRUSSIA ,TEXAS ,19406 ,MONTGOMERY ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16200-250472 
SAN FRANCISCO ,CALIFORNIA ,94111 ,SAN FRANCISCO ,ADVENT GLOBAL SOLUTIONS INC. ,I-200-16116-499916 
REDMOND ,WASHINGTON ,98052 ,KING ,AEGIS COMPANY ,I-200-16195-781662 
PISCATAWAY ,NEW JERSEY ,08854 ,MIDDLESEX ,"SPI MANAGEMENT SERVICES, LLC ",I-200-16340-591501 
BUFFALO GROVE ,ILLINOIS ,60089 ,LAKE COUNTY ,"SPI MANAGEMENT SERVICES, LLC ",I-200-16306-597010 
MARYLAND HEIGHTS ,MISSOURI ,63045 ,SAINT LOUIS ,"SPI MANAGEMENT SERVICES, LLC ",I-200-16285-393506 
BURLINGTON ,MASSACHUSETTS ,01803 ,MIDDLESEX ,"SPI MANAGEMENT SERVICES, LLC ",I-200-16280-886421 
BURLINGTON ,MASSACHUSETTS ,01803 ,MIDDLESEX ,"SPI MANAGEMENT SERVICES, LLC ",I-200-16280-442419 
LONG BEACH ,CALIFORNIA ,90806 ,LOS ANGELES ,"SPI MANAGEMENT SERVICES, LLC ",I-200-16277-414356 
BOULDER ,COLORADO ,80301 ,BOULDER ,UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH ,I-200-16351-610166 
BOULDER ,COLORADO ,80301 ,BOULDER ,UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH ,I-200-16236-036742 
