city,state,zipcode,county,employer_name,case_number
BALTIMORE ,MARYLAND ,21227 ,BALTIMORE ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16357-471908 
AUBURN HILLS ,MICHIGAN ,48326 ,OAKLAND ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16357-447867 
RICHMOND ,CALIFORNIA ,94804 ,CONTRA COSTA ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16356-073173 
BOHEMIA ,NEW YORK ,11716 ,SUFFOLK ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16356-872897 
LIVONIA ,MICHIGAN ,48152 ,WAYNE ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16356-431980 
FRANKLIN ,TENNESSEE ,37067 ,WILLIAMSON ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16356-304421 
HOUSTON ,TEXAS ,77032 ,HARRIS ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16356-769197 
HOLTSVILLE ,NEW YORK ,11742 ,SUFFOLK ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16355-186116 
SCHAUMBURG ,ILLINOIS ,60196 ,COOK ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16355-992874 
BURR RIDGE ,ILLINOIS ,60527 ,DUPAGE ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16354-182783 
HOLTSVILLE ,NEW YORK ,11742 ,SUFFOLK ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16354-652685 
HOLTSVILLE ,NEW YORK ,11742 ,SUFFOLK ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16351-110253 
VICTORIA ,TEXAS ,77905 ,GOLIAD ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16351-229081 
MIDDLETON ,WISCONSIN ,53562 ,DANE ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16351-051744 
EL SEGUNDO ,CALIFORNIA ,90245 ,LOS ANGELES ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16350-427596 
DAVENPORT ,IOWA ,52802 ,SCOTT ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-611145 
WALTON ,NEW YORK ,13856 ,DELAWARE ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-745085 
SPRINGFIELD ,MISSOURI ,65804 ,GREENE ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-963166 
WOBURN ,MASSACHUSETTS ,01801 ,MIDDLESEX ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-081194 
WOBURN ,MASSACHUSETTS ,01801 ,MIDDLESEX ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-476766 
MASSILLON ,OHIO ,44647 ,STARK ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-822700 
WINCHESTER ,VIRGINIA ,22603 ,FREDERICK ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-903038 
WINCHESTER ,VIRGINIA ,22603 ,FREDERICK ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-236756 
SUFFOLK ,VIRGINIA ,23434 ,SUFFOLK CITY ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-919139 
LOWVILLE ,NEW YORK ,13367 ,LEWIS ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-451726 
MUSCATINE ,IOWA ,52761 ,MUSCATINE ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-294645 
SUFFOLK ,VIRGINIA ,23434 ,SUFFOLK CITY ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-653525 
JACKSONVILLE ,FLORIDA ,32202 ,DUVAL ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-393210 
FEDERALSBURG ,MARYLAND ,21632 ,CAROLINE ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-653171 
MASON CITY ,IOWA ,50401 ,CERRO GORDO ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-000053 
MUSCATINE ,IOWA ,52761 ,MUSCATINE ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-270798 
GRANITE CITY ,ILLINOIS ,62040 ,MADISON ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-380969 
WALTON ,NEW YORK ,13856 ,DELAWARE ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-914906 
IRVINE ,CALIFORNIA ,92614 ,ORANGE ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-247997 
MARYSVILLE ,OHIO ,43040 ,UNION ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-700864 
MASON CITY ,IOWA ,50401 ,CERRO GORDO ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-472535 
MUSCATINE ,IOWA ,52761 ,MUSCATINE ,L&T TECHNOLOGY SERVICES LIMITED ,I-200-16349-316127 
