city,state,zipcode,county,employer_name,case_number
PARSIPPANY ,NEW JERSEY ,07054 ,MORRIS ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16351-784098 
SAN JOSE ,CALIFORNIA ,95125 ,SANTA CLARA ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16350-398050 
MCLEAN ,VIRGINIA ,22102 ,FAIRFAX ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16349-248352 
BETHESDA ,MARYLAND ,20814 ,MONTGOMERY ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16344-228863 
MENLO PARK ,CALIFORNIA ,94025 ,SAN MATEO ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16340-607580 
SUITLAND ,MARYLAND ,20746 ,PRINCE'S GEORGE ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16334-962996 
THE WOODLANDS ,TEXAS ,77380 ,HARRIS ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16333-011915 
SUNNYVALE ,CALIFORNIA ,94085 ,SANTA CLARA ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16326-253110 
OVERLAND PARK ,KANSAS ,66211 ,JOHNSON ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16322-358705 
TALLAHASSEE ,FLORIDA ,32399 ,LEON ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16320-015249 
TALLAHASSEE ,FLORIDA ,32399 ,LEON ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16320-726372 
WOODLAND HILLS ,CALIFORNIA ,91367 ,LOS ANGELES ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16309-963015 
SECAUCUS ,NEW JERSEY ,07094 ,HUDSON ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16300-539055 
WILMINGTON ,DELAWARE ,19801 ,NEW CASTLE ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16300-671250 
CRANBURY ,NEW JERSEY ,08512 ,MIDDLESEX ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16300-036544 
PARSIPPANY ,NEW JERSEY ,07054 ,MORRIS ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16300-419191 
WOODCLIFF LAKE ,NEW JERSEY ,07677 ,BERGEN ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16298-910823 
MORRISVILLE ,NORTH CAROLINA ,27560 ,WAKE ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16294-793329 
CHANTILLY ,VIRGINIA ,20151 ,FAIRFAX ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16293-877988 
WILMINGTON ,DELAWARE ,19801 ,NEW CASTLE ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16292-717907 
DECATUR ,ILLINOIS ,62525 ,MACON ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16288-292478 
MOUNTAIN VIEW ,CALIFORNIA ,94043 ,SANTA CLARA ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16287-448419 
SAN JOSE ,CALIFORNIA ,95134 ,SANTA CLARA ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16287-071337 
EWING ,NEW JERSEY ,08628 ,MERCER ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16281-871919 
PROSPECT HEIGHTS ,ILLINOIS ,60070 ,COOK ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16279-051532 
SAN JOSE ,CALIFORNIA ,95131 ,SANTA CLARA ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16277-751221 
ROCKVILLE ,MARYLAND ,20852 ,MONTGOMERY ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16273-277101 
NEW YORK ,NEW YORK ,10004 ,NEW YORK ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16273-437814 
CHEVY CHASE ,MARYLAND ,20815 ,MONTGOMERY ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16271-805191 
ROUND ROCK ,TEXAS ,78682 ,WILLIAMSON ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16266-610313 
DALLAS ,TEXAS ,75234 ,DALLAS ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16266-925820 
MIDDLETOWN ,NEW JERSEY ,07748 ,MONMOUTH ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16260-663065 
WOODCLIFF LAKE ,NEW JERSEY ,07677 ,BERGEN ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16259-544597 
WOODCLIFF LAKE ,NEW JERSEY ,07677 ,BERGEN ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16238-901036 
NEW YORK ,NEW YORK ,10001 ,NEW YORK ,ORION SYSTEMS INTEGRATORS LLC ,I-200-16237-714917 
