city,state,zipcode,county,employer_name,case_number
HAYWARD ,CALIFORNIA ,94545 ,ALAMEDA ,"ALECTO HEALTHCARE SERVICES, LLC ",I-200-16258-613075 
CHARLOTTE ,NORTH CAROLINA ,28262 ,MECKLENBURG ,"INFOLOB SOLUTIONS, INC. ",I-200-16335-646698 
SUNNYVALE ,CALIFORNIA ,94089 ,SANTA CLARA ,"INFOLOB SOLUTIONS, INC. ",I-200-16327-577964 
400 EAST TASMAN DRIVE ,CALIFORNIA ,95134 ,SANTA CLARA ,"INFOLOB SOLUTIONS, INC. ",I-200-16323-702024 
CHARLOTTE ,TEXAS ,28262 ,MECKLENBURG ,"INFOLOB SOLUTIONS, INC. ",I-200-16322-994054 
SUNRISE ,FLORIDA ,33323 ,BROWARD ,"INFOLOB SOLUTIONS, INC. ",I-200-16320-842015 
WINDSOR ,CONNECTICUT ,06095 ,HARTFORD ,"INFOLOB SOLUTIONS, INC. ",I-200-16319-279480 
MALVERN ,PENNSYLVANIA ,19355 ,CHESTER ,"INFOLOB SOLUTIONS, INC. ",I-200-16312-068589 
NEW YORK ,NEW YORK ,10036 ,NEW YORK ,"INFOLOB SOLUTIONS, INC. ",I-200-16299-727139 
ROSEVILLE ,CALIFORNIA ,95747 ,PLACER ,"INFOLOB SOLUTIONS, INC. ",I-200-16291-378252 
WARREN ,NEW JERSEY ,07059 ,SOMERSET ,"INFOLOB SOLUTIONS, INC. ",I-200-16287-258543 
CHAROLATTE ,NORTH CAROLINA ,28262 ,MECKLENBURG ,"INFOLOB SOLUTIONS, INC. ",I-200-16277-459994 
SOMERSET ,NEW JERSEY ,08873 ,SOMERSET ,"INFOLOB SOLUTIONS, INC. ",I-200-16260-331099 
IRVING ,TEXAS ,75039 ,DALLAS ,"INFOLOB SOLUTIONS, INC. ",I-200-16238-131273 
PLANO ,TEXAS ,75024 ,COLLIN ,"INFOLOB SOLUTIONS, INC. ",I-200-16237-628271 
PLANO ,TEXAS ,75024 ,COLLIN ,"INFOLOB SOLUTIONS, INC. ",I-200-16215-786892 
GASTONIA ,NORTH CAROLINA ,28054 ,GASTON ,"CAROMONT MEDICAL GROUP, INC. ",I-200-16258-736255 
CRANFORD ,NEW JERSEY ,07016 ,UNION ,"LOGIXAL, INC. ",I-200-16285-517397 
FARMINGTON HILLS ,MICHIGAN ,48331 ,OAKLAND ,SIRIUS XM CONNECTED VEHICLE SERVICES INC. ,I-200-16294-185303 
IRVING ,TEXAS ,75063 ,DALLAS ,SIRIUS XM CONNECTED VEHICLE SERVICES INC. ,I-200-16278-167905 
IRVING ,TEXAS ,75063 ,DALLAS ,SIRIUS XM CONNECTED VEHICLE SERVICES INC. ,I-200-16279-518351 
DALLAS ,TEXAS ,75254 ,DALLAS ,"INFOR (US), INC. ",I-200-16354-743605 
ADDISON ,TEXAS ,75001 ,DALLAS ,"INFOR (US), INC. ",I-200-16341-070511 
COLUMBUS ,OHIO ,43240 ,FRANKLIN ,"INFOR (US), INC. ",I-200-16343-543571 
LEXINGTON ,MASSACHUSETTS ,02421 ,MIDDLESEX ,"INFOR (US), INC. ",I-200-16335-028215 
HOUSTON ,TEXAS ,77025 ,HARRIS ,"INFOR (US), INC. ",I-200-16312-082767 
COLUMBUS ,OHIO ,43240 ,DELAWARE ,"INFOR (US), INC. ",I-200-16313-977552 
DALLAS ,TEXAS ,75254 ,DALLAS ,"INFOR (US), INC. ",I-200-16309-422600 
AUSTIN ,TEXAS ,78759 ,TRAVIS ,"INFOR (US), INC. ",I-200-16306-863001 
ATLANTA ,GEORGIA ,30309 ,FULTON ,"INFOR (US), INC. ",I-200-16279-550301 
ATLANTA ,GEORGIA ,30309 ,FULTON ,"INFOR (US), INC. ",I-200-16279-503408 
AUSTIN ,TEXAS ,78759 ,TRAVIS ,"INFOR (US), INC. ",I-200-16274-457522 
AUSTIN ,TEXAS ,78759 ,TRAVIS ,"INFOR (US), INC. ",I-200-16279-294179 
AUSTIN ,TEXAS ,78759 ,TRAVIS ,"INFOR (US), INC. ",I-200-16279-272597 
AUSTIN ,TEXAS ,78759 ,TRAVIS ,"INFOR (US), INC. ",I-200-16274-061629 
GREENVILLE ,SOUTH CAROLINA ,29605 ,GREENVILLE ,"INFOR (US), INC. ",I-200-16266-282025 
ATLANTA ,GEORGIA ,30309 ,FULTON ,"INFOR (US), INC. ",I-200-16270-410482 
AUSTIN ,TEXAS ,78759 ,TRAVIS ,"INFOR (US), INC. ",I-200-16274-607994 
ATLANTA ,GEORGIA ,30309 ,FULTON ,"INFOR (US), INC. ",I-200-16272-562107 
AUSTIN ,TEXAS ,78759 ,TRAVIS ,"INFOR (US), INC. ",I-200-16274-650774 
ATLANTA ,GEORGIA ,30309 ,FULTON ,"INFOR (US), INC. ",I-200-16272-504724 
ATLANTA ,GEORGIA ,30309 ,FULTON ,"INFOR (US), INC. ",I-200-16258-776522 
COLUMBUS ,INDIANA ,47201 ,BARTHOLOMEW ,"INFOR (US), INC. ",I-200-16259-069905 
ATLANTA ,GEORGIA ,30309 ,FULTON ,"INFOR (US), INC. ",I-200-16263-355623 
ATLANTA ,GEORGIA ,30309 ,FULTON ,"INFOR (US), INC. ",I-200-16256-606834 
ATLANTA ,GEORGIA ,30309 ,FULTON ,"INFOR (US), INC. ",I-200-16252-130530 
DALLAS ,TEXAS ,75254 ,DALLAS ,"INFOR (US), INC. ",I-200-16222-794339 
MALVERN ,PENNSYLVANIA ,19355 ,CHESTER ,"INFOR (US), INC. ",I-200-16236-626407 
MALVERN ,PENNSYLVANIA ,19355 ,CHESTER ,"INFOR (US), INC. ",I-200-16244-688902 
GREENVILLE ,SOUTH CAROLINA ,29605 ,GREENVILLE ,"INFOR (US), INC. ",I-200-16229-593488 
ALPHARETTA ,GEORGIA ,30004 ,FULTON ,"INFOR (US), INC. ",I-200-16210-212862 
ALPHARETTA ,GEORGIA ,30004 ,FULTON ,"INFOR (US), INC. ",I-200-16138-854468 
ROSLYN HEIGHTS ,NEW YORK ,11577 ,NASSAU ,"INFOR (US), INC. ",I-200-16137-777745 
ST. PAUL ,MINNESOTA ,55102 ,RAMSEY ,"INFOR (US), INC. ",I-200-16092-922123 
HERNDON ,VIRGINIA ,20170 ,FAIRFAX ,SSN GROUP LLC ,I-200-16258-811379 
FREMONT ,CALIFORNIA ,94538 ,ALAMEDA ,"OPTOVUE, INC. ",I-200-16258-980640 
NEW YORK ,NEW YORK ,10112 ,NEW YORK ,DELOITTE & TOUCHE LLP ,I-200-16301-350217 
PHILADELPHIA ,PENNSYLVANIA ,19103 ,PHILADELPHIA ,DELOITTE & TOUCHE LLP ,I-200-16302-617599 
PHILADELPHIA ,PENNSYLVANIA ,19103 ,PHILADELPHIA ,DELOITTE CONSULTING LLP ,I-200-16302-673310 
PLANO ,TEXAS ,75024 ,COLLIN ,DELOITTE CONSULTING LLP ,I-200-16302-435711 
BEAVERTON ,OREGON ,97007 ,WASHINGTON ,DELOITTE CONSULTING LLP ,I-200-16302-928782 
PHILADELPHIA ,PENNSYLVANIA ,19103 ,PHILADELPHIA ,DELOITTE CONSULTING LLP ,I-200-16302-782317 
