city,state,zipcode,county,employer_name,case_number
PHOENIX ,ARIZONA ,85085 ,MARICOPA ,"XEROX STATE HEALTHCARE, LLC ",I-200-16343-289929 
RICHMOND ,VIRGINIA ,23225 ,RICHMOND ,"XEROX STATE HEALTHCARE, LLC ",I-200-16260-511379 
WEST SACRAMENTO ,CALIFORNIA ,95605 ,YOLO ,"XEROX STATE HEALTHCARE, LLC ",I-200-16176-550120 
RICHMOND ,VIRGINIA ,23225 ,RICHMOND ,"XEROX STATE HEALTHCARE, LLC ",I-200-16123-316402 
WEST SACRAMENTO ,CALIFORNIA ,95605 ,YOLO ,"XEROX STATE HEALTHCARE, LLC ",I-200-16116-159537 
WEST SACRAMENTO ,CALIFORNIA ,95605 ,YOLO ,"XEROX STATE HEALTHCARE, LLC ",I-200-16117-148646 
MARYSVILLE ,OHIO ,43041 ,UNION ,THE SCOTTS COMPANY LLC ,I-200-16322-112306 
MARYSVILLE ,OHIO ,43041 ,UNION ,THE SCOTTS COMPANY LLC ,I-200-16320-698987 
BELMONT ,CALIFORNIA ,94002 ,SAN MATEO ,THE SCOTTS COMPANY LLC ,I-200-16319-817393 
MARYSVILLE ,OHIO ,43041 ,UNION ,THE SCOTTS COMPANY LLC ,I-200-16132-440078 
MILPITAS ,CALIFORNIA ,95035 ,SANTA CLARA ,"FIREEYE, INC ",I-200-16294-842268 
MILPITAS ,CALIFORNIA ,95035 ,SANTA CLARA ,"FIREEYE, INC. ",I-200-16203-896742 
RESTON ,VIRGINIA ,20190 ,FAIRFAX ,"FIREEYE, INC. ",I-200-16182-510160 
MILPITAS ,CALIFORNIA ,95035 ,SANTA CLARA ,"FIREEYE, INC. ",I-200-16173-395797 
MILPITAS ,CALIFORNIA ,95035 ,SANTA CLARA ,"FIREEYE, INC. ",I-200-16167-974245 
MILPITAS ,CALIFORNIA ,95035 ,SANTA CLARA ,"FIREEYE, INC. ",I-200-16128-290895 
MILPITAS ,CALIFORNIA ,95035 ,SANTA CLARA ,"FIREEYE, INC. ",I-200-16123-612831 
BENTON HARBOR ,MICHIGAN ,49022 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16350-627584 
BENTON HARBOR ,MICHIGAN ,49022 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16337-767474 
AMANA ,IOWA ,52204 ,IOWA ,WHIRLPOOL CORPORATION ,I-200-16322-489551 
BENTON HARBOR ,MICHIGAN ,49022 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16299-520511 
BENTON HARBOR ,MICHIGAN ,49022 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16292-610713 
BENTON HARBOR ,MICHIGAN ,49022 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16236-932235 
BENTON HARBOR ,MICHIGAN ,49022 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16278-098325 
BENTON HARBOR ,MICHIGAN ,49022 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16270-409386 
BENTON HARBOR ,MICHIGAN ,49022 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16263-361954 
BENTON HARBOR ,MICHIGAN ,49022 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16257-712112 
BENTON HARBOR ,MICHIGAN ,49022 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16210-981584 
ST. JOSEPH ,MICHIGAN ,49085 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16179-094372 
BENTON HARBOR ,MICHIGAN ,49022 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16153-358578 
ST. JOSEPH ,MICHIGAN ,49085 ,BERRIEN ,WHIRLPOOL CORPORATION ,I-200-16118-480993 
DENISON ,TEXAS ,75020 ,GRAYSON ,POPULUS GROUP LLC ,I-200-16356-904233 
MILWAUKEE ,WISCONSIN ,53204 ,MILWAUKEE ,POPULUS GROUP LLC ,I-200-16355-016497 
RALEIGH ,NORTH CAROLINA ,27603 ,WAKE ,POPULUS GROUP LLC ,I-200-16355-741244 
BLOOMINGTON ,ILLINOIS ,61710 ,MCLEAN ,POPULUS GROUP LLC ,I-200-16355-265286 
PORTLAND ,OREGON ,97204 ,MULTNOMAH ,POPULUS GROUP LLC ,I-200-16355-247672 
SUNNYVALE ,CALIFORNIA ,94085 ,SANTA CLARA ,POPULUS GROUP LLC ,I-200-16355-930371 
JERSEY CITY ,NEW JERSEY ,07310 ,HUDSON ,POPULUS GROUP LLC ,I-200-16354-276639 
HOUSTON ,TEXAS ,77079 ,HARRIS ,POPULUS GROUP LLC ,I-200-16350-065038 
SANTA ANA ,CALIFORNIA ,92705 ,ORANGE ,POPULUS GROUP LLC ,I-200-16344-157010 
CHARLOTTE ,NORTH CAROLINA ,28262 ,MECKLENBURG ,POPULUS GROUP LLC ,I-200-16343-662356 
LANSING ,MICHIGAN ,48933 ,INGRAM ,POPULUS GROUP LLC ,I-200-16343-183922 
BEAVERTON ,OREGON ,97006 ,WASHINGTON ,POPULUS GROUP LLC ,I-200-16340-982953 
COLUMBUS ,OHIO ,43215 ,FRANKLIN ,POPULUS GROUP LLC ,I-200-16340-017423 
OMAHA ,NEBRASKA ,68110 ,DOUGLAS ,POPULUS GROUP LLC ,I-200-16337-911873 
COLUMBUS ,OHIO ,43215 ,FRANKLIN ,POPULUS GROUP LLC ,I-200-16336-628581 
RICHARDSON ,TEXAS ,75082 ,COLLIN ,POPULUS GROUP LLC ,I-200-16335-915157 
