city,state,zipcode,county,employer_name,case_number
ATLANTA ,GEORGIA ,30339 ,COBB ,"REVENUE ANALYTICS, INC. ",I-200-16280-513166 
ALBANY ,NEW YORK ,12203 ,ALBANY ,SOFTWARE GLOBAL LTD ,I-200-16319-290948 
DALLAS ,TEXAS ,75206 ,DALLAS ,SOFTWARE GLOBAL LTD ,I-200-16298-504741 
TAMPA ,FLORIDA ,33634 ,HILLSBOROUGH ,SOFTWARE GLOBAL LTD ,I-200-16298-378772 
RIVERWOODS ,ILLINOIS ,60015 ,LAKE COUNTY ,SOFTWARE GLOBAL LTD ,I-200-16277-618214 
BEAVERTON ,OREGON ,97006 ,WASHINGTON ,SOFTWARE GLOBAL LTD ,I-200-16277-422988 
LINTHICUM HEIGHTS ,MARYLAND ,21090 ,ANNE ARUNDEL ,SOFTWARE GLOBAL LTD. ,I-200-16271-282487 
DALLAS ,TEXAS ,75254 ,DALLAS ,"MATRIX RESOURCES, INC. ",I-200-16277-925955 
RALEIGH ,NORTH CAROLINA ,27604 ,WAKE ,"MATRIX RESOURCES, INC. ",I-200-16239-157697 
ATLANTA ,GEORGIA ,30328 ,FULTON ,"MATRIX RESOURCES, INC. ",I-200-16224-034516 
SAN FRANCISCO ,CALIFORNIA ,94105 ,SAN FRANCISCO ,"MATRIX RESOURCES, INC. ",I-200-16161-228243 
CHICAGO ,ILLINOIS ,60612 ,COOK ,HEKTOEN INSTITUTE LLC ,I-200-16295-116565 
BERRIEN SPRINGS ,MICHIGAN ,49104 ,BERRIEN ,ANDREWS UNIVERSITY ,I-200-16349-620464 
BERRIEN SPRINGS ,MICHIGAN ,49104 ,BERRIEN ,ANDREWS UNIVERSITY ,I-200-16347-467306 
BERRIEN SPRINGS ,MICHIGAN ,49104 ,BERRIEN ,ANDREWS UNIVERSITY ,I-200-16244-884653 
INDIANAPOLIS ,INDIANA ,46240 ,MARION ,"ARCHWAY TECHNOLOGY PARTNERS, LLC ",I-200-16271-198778 
IRVING ,TEXAS ,75038 ,DALLAS ,SINGULAR ANALYSTS INC ,I-200-16355-646432 
IRVING ,TEXAS ,75038 ,DALLAS ,SINGULAR ANALYSTS INC ,I-200-16347-598036 
IRVING ,TEXAS ,75038 ,DALLAS ,SINGULAR ANALYSTS INC ,I-200-16295-582320 
IRVING ,TEXAS ,75038 ,DALLAS ,SINGULAR ANALYSTS INC ,I-200-16294-858242 
IRVING ,TEXAS ,75038 ,DALLAS ,SINGULAR ANALYSTS INC ,I-200-16288-239086 
ROSWELL ,GEORGIA ,30075 ,FULTON ,NEUROK SOFTWARE LLC ,I-200-16312-308379 
ROSWELL ,GEORGIA ,30075 ,FULTON ,NEUROK SOFTWARE LLC ,I-200-16208-061887 
HOUSTON ,TEXAS ,77027 ,HARRIS COUNTY ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16314-600592 
KANSAS CITY ,MISSOURI ,64114 ,JACKSON ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16334-150623 
KANSAS CITY ,MISSOURI ,64114 ,JACKSON ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16308-139472 
BURNSIDE ,LOUISIANA ,70738 ,ASCENSION ,"ALMATIS BURNSIDE, LLC ",I-200-16327-639543 
WALLINGFORD ,CONNECTICUT ,06492 ,NEW HAVEN ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16305-155281 
BREA ,CALIFORNIA ,92821 ,ORANGE COUNTY ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16287-408832 
FORT WORTH ,TEXAS ,76116 ,TARRANT ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16294-768207 
HOUSTON ,TEXAS ,77027 ,HARRIS COUNTY ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16300-998676 
KANSAS CITY ,MISSOURI ,64114 ,JACKSON COUNTY ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16294-898648 
HOUSTON ,TEXAS ,77027 ,HARRIS COUNTY ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16287-554780 
HOUSTON ,TEXAS ,77027 ,HARRIS ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16287-933679 
KANSAS CITY ,MISSOURI ,94114 ,JACKSON ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16287-624531 
KANSAS CITY ,MISSOURI ,64114 ,JACKSON ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16287-291917 
HOUSTON ,TEXAS ,77027 ,HARRIS ,"BURNS & MCDONNELL ENGINEERING COMPANY, INC. ",I-200-16286-820494 
